season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2015,75852,김선규,LG,LG,1,3.13,31,2,0,0,2,1.0,31 2/3,34,5,10,2,19,12,11,1.39,0,0,0,0,136,518,0.279,4,1,1,1,2,1,0,0,0,2,2,3,0,3,44,26,1.69,0.293,16.7,16.4,5.4,2.84,1.9,0.341,0.451,0.792
2015,73117,우규민,LG,LG,2,3.42,25,11,9,0,0,0.55,152 2/3,163,13,17,12,119,64,58,1.18,1,0,13,0,621,2256,0.282,26,5,10,4,0,2,0,25,11,0,1,0,0,23,177,123,1.44,0.333,90.2,14.8,7.02,1.0,7.0,0.314,0.412,0.726
2015,61329,윤지웅,LG,LG,3,3.77,78,3,1,0,12,0.75,62,47,3,17,1,54,26,26,1.03,0,0,0,1,245,955,0.211,6,1,3,1,0,4,0,0,0,3,9,14,0,5,74,49,1.51,0.263,12.2,15.4,7.84,2.47,3.18,0.269,0.287,0.556
2015,62698,소사,LG,LG,4,4.03,32,10,12,0,1,0.455,194 1/3,199,16,36,5,177,102,87,1.21,2,1,19,0,809,3138,0.266,39,7,15,6,0,6,1,30,10,0,3,0,0,14,188,189,0.99,0.327,98.1,16.1,8.2,1.67,4.92,0.302,0.402,0.704
2015,60181,김지용,LG,LG,5,4.13,24,1,1,0,0,0.5,32 2/3,30,4,12,1,28,15,15,1.29,0,0,0,0,137,494,0.244,10,0,1,0,2,2,0,0,0,1,12,0,0,4,30,35,0.86,0.286,20.6,15.1,7.71,3.31,2.33,0.316,0.423,0.739
2015,71118,이동현,LG,LG,6,4.4,60,5,5,4,11,0.5,59 1/3,65,4,20,2,55,33,29,1.43,0,0,0,4,258,951,0.288,13,0,7,3,5,7,0,0,0,5,20,21,0,2,52,57,0.91,0.359,15.9,16.0,8.34,3.03,2.75,0.347,0.398,0.745
2015,63111,류제국,LG,LG,7,4.78,24,4,9,0,0,0.308,130,134,16,55,14,88,72,69,1.45,0,0,11,0,572,2163,0.273,20,3,8,4,1,15,0,23,4,0,0,0,0,14,181,92,1.97,0.302,90.1,16.6,6.09,3.81,1.6,0.36,0.424,0.784
2015,70839,신승현,LG,LG,8,4.79,37,0,1,0,3,0.0,35 2/3,32,3,18,5,30,19,19,1.4,0,0,0,0,155,606,0.244,3,0,1,0,3,3,0,0,0,0,9,3,0,6,34,35,0.97,0.296,16.4,17.0,7.57,4.54,1.67,0.357,0.336,0.693
2015,77147,봉중근,LG,LG,9,4.93,47,5,2,15,0,0.714,49 1/3,60,10,23,6,39,28,27,1.68,0,0,0,5,223,896,0.319,6,0,4,2,4,3,0,2,0,5,35,20,1,11,44,47,0.94,0.355,19.1,18.2,7.11,4.2,1.7,0.406,0.511,0.917
2015,65137,루카스,LG,LG,10,4.93,33,10,11,0,1,0.476,171 2/3,175,11,108,14,151,103,94,1.65,0,0,12,1,785,3261,0.27,21,1,8,6,4,11,1,30,10,0,0,1,0,24,209,120,1.74,0.333,98.8,19.0,7.92,5.66,1.4,0.382,0.356,0.738
2015,61891,임정우,LG,LG,11,5.04,54,6,9,5,3,0.4,109,123,8,50,14,99,65,61,1.59,0,0,0,3,501,1904,0.291,32,2,11,3,4,8,1,11,1,5,18,12,1,13,106,98,1.08,0.361,35.3,17.5,8.17,4.13,1.98,0.382,0.433,0.815
2015,78148,정찬헌,LG,LG,12,5.52,32,3,6,1,5,0.333,44,49,3,14,5,32,27,27,1.43,0,0,0,1,191,687,0.299,8,0,7,1,2,2,0,0,0,3,8,5,0,2,41,43,0.95,0.354,21.5,15.6,6.55,2.86,2.29,0.37,0.402,0.772
2015,76757,유원상,LG,LG,13,5.59,25,1,1,0,1,0.5,37,44,6,12,2,22,26,23,1.51,0,0,0,0,163,614,0.306,9,1,2,3,1,2,0,0,0,1,3,1,0,4,41,40,1.03,0.319,24.6,16.6,5.35,2.92,1.83,0.36,0.507,0.867
2015,76650,진해수,LG,LG,14,5.72,39,2,2,0,4,0.5,28 1/3,29,2,16,5,20,19,18,1.59,0,0,0,0,128,499,0.282,5,0,3,1,0,3,0,0,0,2,5,5,0,2,35,20,1.75,0.329,12.8,17.6,6.35,5.08,1.25,0.4,0.388,0.788
2015,99152,김광삼,LG,LG,15,5.74,4,0,1,0,0,0.0,15 2/3,16,2,9,1,11,13,10,1.6,0,0,0,0,72,305,0.262,2,0,1,0,0,0,0,4,0,0,0,0,0,1,21,13,1.62,0.292,76.3,19.5,6.32,5.17,1.22,0.366,0.393,0.759
2015,60146,이승현,LG,LG,16,5.87,15,0,0,0,0,,15 1/3,14,1,10,1,21,10,10,1.57,0,0,0,0,71,319,0.233,2,1,0,0,0,0,0,0,0,0,7,0,0,1,15,10,1.5,0.342,21.3,20.8,12.33,5.87,2.1,0.352,0.35,0.702
2015,64155,임지섭,LG,LG,17,6.25,8,1,2,0,0,0.333,31 2/3,18,3,36,2,37,23,22,1.71,0,0,2,0,144,601,0.176,2,0,3,1,0,9,0,8,1,0,0,0,0,3,23,25,0.92,0.238,75.1,19.0,10.52,10.23,1.03,0.397,0.284,0.681
2015,62463,이준형,LG,LG,18,6.35,4,0,2,0,0,0.0,5 2/3,7,1,9,1,5,7,4,2.82,0,0,0,0,35,155,0.292,0,0,0,1,1,4,0,2,0,0,2,0,0,0,5,8,0.63,0.316,38.8,27.4,7.94,14.29,0.56,0.486,0.417,0.903
2015,74139,장진용,LG,LG,19,6.4,11,1,3,0,0,0.25,32 1/3,43,5,7,5,20,26,23,1.55,0,0,0,0,150,541,0.319,7,2,3,0,0,0,0,9,1,0,0,0,0,6,38,34,1.12,0.345,49.2,16.7,5.57,1.95,2.86,0.374,0.511,0.885
2015,79140,최동환,LG,LG,20,8.27,17,0,0,0,0,,20 2/3,32,7,6,2,21,19,19,1.84,0,0,0,0,101,423,0.348,5,0,1,0,1,2,0,0,0,0,6,1,0,0,17,22,0.77,0.391,24.9,20.5,9.15,2.61,3.5,0.4,0.63,1.03
2015,79748,구본범,한화,HH,1,0.0,3,0,0,0,0,,1,0,0,2,0,1,0,0,2.0,0,0,0,0,6,28,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0.0,0.0,9.3,28.0,9.0,18.0,0.5,0.333,0.0,0.333
2015,70329,마일영,한화,HH,1,0.0,2,0,0,0,0,,1/3,0,0,1,1,0,1,0,3.0,0,0,0,0,5,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0.0,11.0,66.0,0.0,27.0,0.0,0.4,0.0,0.4
2015,98521,임경완,한화,HH,1,,1,0,0,0,0,,0,0,0,2,0,0,1,1,,0,0,0,0,2,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,12.0,,,,0.0,1.0,,1.0
2015,64768,조이현,한화,HH,1,0.0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0.0,0,0,0,0,3,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,13.0,13.0,0.0,0.0,,0.0,0.0,0.0
2015,64718,최설우,한화,HH,1,0.0,1,0,0,0,0,,1 1/3,2,0,2,0,1,2,0,3.0,0,0,0,0,8,33,0.333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2.0,0.4,33.0,24.8,6.75,13.5,0.5,0.5,0.5,1.0
2015,73750,윤규진,한화,HH,6,2.66,40,3,2,10,3,0.6,50 2/3,39,3,21,0,48,15,15,1.18,0,0,0,2,205,848,0.217,6,0,4,0,3,2,0,0,0,3,24,15,0,5,41,52,0.79,0.279,21.2,16.7,8.53,3.73,2.29,0.299,0.3,0.599
2015,65742,로저스,한화,HH,7,2.97,10,6,2,0,0,0.75,75 2/3,62,2,20,4,60,26,25,1.08,4,3,6,0,296,1130,0.229,8,2,0,1,0,1,1,10,6,0,4,0,0,8,102,48,2.13,0.286,113.0,14.9,7.14,2.38,3.0,0.291,0.295,0.586
