season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2015,NC,team_runner,1,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,204,60,,264,77.3,50
2015,삼성,team_runner,2,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,157,52,,209,75.1,60
2015,KT,team_runner,3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,124,52,,176,70.5,58
2015,KIA,team_runner,4,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,115,50,,165,69.7,60
2015,LG,team_runner,5,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,113,62,,175,64.6,55
2015,두산,team_runner,6,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,111,47,,158,70.3,56
2015,롯데,team_runner,7,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,104,50,,154,67.5,56
2015,넥센,team_runner,8,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,100,47,,147,68.0,72
2015,SSG,team_runner,9,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,94,59,,153,61.4,59
2015,한화,team_runner,10,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,80,47,,127,63.0,57
2016,넥센,team_runner,1,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,154,83,,237,65.0,56
2016,롯데,team_runner,2,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,145,64,,209,69.4,55
2016,LG,team_runner,3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,121,70,,191,63.4,70
2016,삼성,team_runner,4,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,104,50,,154,67.5,51
2016,KIA,team_runner,5,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,101,50,,151,66.9,52
2016,NC,team_runner,6,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,99,41,,140,70.7,48
2016,KT,team_runner,7,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,96,46,,142,67.6,58
2016,SSG,team_runner,8,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,89,60,,149,59.7,71
2016,두산,team_runner,9,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,85,45,,130,65.4,64
2016,한화,team_runner,10,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,64,38,,102,62.7,58
2017,삼성,team_runner,1,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,98,37,,135,72.6,53
2017,NC,team_runner,2,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,93,32,,125,74.4,59
2017,롯데,team_runner,3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,92,44,,136,67.6,52
2017,KT,team_runner,4,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,86,51,,137,62.8,54
2017,LG,team_runner,5,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,77,56,,133,57.9,50
2017,KIA,team_runner,6,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,76,34,,110,69.1,46
2017,넥센,team_runner,7,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,70,34,,104,67.3,55
2017,두산,team_runner,8,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,69,33,,102,67.6,36
2017,한화,team_runner,9,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,64,44,,108,59.3,58
2017,SSG,team_runner,10,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,53,42,,95,55.8,33
2018,한화,team_runner,1,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,118,64,,182,64.8,58
2018,삼성,team_runner,2,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,116,52,,168,69.0,46
2018,SSG,team_runner,3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,108,39,,147,73.5,51
2018,넥센,team_runner,4,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,101,33,,134,75.4,45
