season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2018,64117,양원혁,LG,LG,1,0.4,7,6,5,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0.4,0.5,0.9,0,0.0,0.0,0,2,1,2.0,0,,4.5,0.0,1.1,0.325
2018,76290,김현수,LG,LG,2,0.362,117,511,453,95,164,39,2,20,267,101,0,10,47,6,1,61,9,0.589,0.415,1.004,48,0.419,0.0,61,136,102,1.33,8,0.77,3.66,0.227,99.3,0.334
2018,61186,이천웅,LG,LG,3,0.34,112,405,359,61,122,22,3,2,156,39,2,2,39,2,3,48,11,0.435,0.407,0.842,33,0.319,0.267,27,119,72,1.65,3,0.81,3.63,0.095,57.1,0.292
2018,68103,가르시아,LG,LG,4,0.339,50,206,183,27,62,9,0,8,95,34,0,6,9,0,8,25,3,0.519,0.383,0.902,16,0.263,0.2,17,48,54,0.89,5,0.36,3.62,0.18,37.2,0.302
2018,68119,문성주,LG,LG,5,0.333,5,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.333,0.333,0.666,0,0.0,0.5,0,1,0,,0,0.0,2.67,0.0,0.3,0.233
2018,79192,채은성,LG,LG,6,0.331,139,578,529,78,175,36,2,25,290,119,0,5,35,1,9,97,12,0.548,0.379,0.927,54,0.362,0.0,63,130,132,0.98,7,0.36,3.74,0.217,99.9,0.308
2018,78135,이형종,LG,LG,7,0.316,118,485,437,83,138,27,0,13,204,42,5,0,31,0,12,82,6,0.467,0.377,0.844,37,0.292,0.364,40,112,105,1.07,5,0.38,3.72,0.151,72.0,0.286
2018,72133,박용택,LG,LG,8,0.303,134,583,524,89,159,38,1,15,244,76,0,7,47,0,5,107,21,0.466,0.362,0.828,48,0.285,0.667,54,128,137,0.93,10,0.44,3.9,0.162,80.9,0.279
2018,61102,유강남,LG,LG,9,0.296,132,465,425,53,126,33,0,19,216,66,2,1,28,1,9,80,21,0.508,0.352,0.86,37,0.282,0.214,52,111,109,1.02,3,0.35,3.76,0.212,65.7,0.285
2018,62164,서상우,LG,LG,10,0.29,51,84,69,10,20,0,0,2,26,14,0,2,12,0,1,18,1,0.377,0.393,0.77,2,0.333,0.276,2,20,13,1.54,0,0.67,4.52,0.087,11.8,0.271
2018,79109,오지환,LG,LG,11,0.278,144,617,533,93,148,26,2,11,211,71,12,6,59,3,7,146,6,0.396,0.354,0.75,40,0.357,0.0,39,120,125,0.96,6,0.4,4.01,0.118,78.2,0.258
2018,64153,양석환,LG,LG,12,0.263,140,519,483,53,127,27,0,22,220,82,1,5,24,0,6,81,9,0.455,0.303,0.758,32,0.31,0.143,49,100,180,0.56,9,0.3,4.0,0.193,65.9,0.25
2018,79150,정주현,LG,LG,13,0.261,115,339,303,48,79,14,2,6,115,31,6,1,27,0,2,68,9,0.38,0.324,0.704,23,0.277,0.5,22,77,80,0.96,5,0.4,3.78,0.119,38.0,0.241
2018,65109,백승현,LG,LG,14,0.25,5,8,8,1,2,0,0,0,2,1,0,0,0,0,0,3,0,0.25,0.25,0.5,0,1.0,0.0,0,3,0,,0,0.0,3.88,0.0,0.4,0.175
2018,78217,김용의,LG,LG,15,0.233,114,185,159,28,37,2,0,0,39,13,7,3,16,1,0,32,1,0.245,0.298,0.543,7,0.214,0.091,2,55,38,1.45,1,0.5,3.63,0.013,15.6,0.195
2018,74823,임훈,LG,LG,16,0.229,54,88,83,10,19,3,0,2,28,7,2,0,3,0,0,15,3,0.337,0.256,0.593,3,0.167,0.292,5,27,22,1.23,1,0.2,3.36,0.108,6.2,0.199
2018,71842,정상호,LG,LG,17,0.223,70,128,112,11,25,4,0,1,32,9,3,0,8,0,5,35,3,0.286,0.304,0.59,7,0.171,0.0,5,25,27,0.93,1,0.23,3.94,0.063,9.3,0.208
2018,61114,김재율,LG,LG,18,0.222,25,41,36,5,8,3,0,0,11,3,0,0,3,0,2,9,1,0.306,0.317,0.623,0,0.4,0.286,3,8,11,0.73,0,0.33,4.41,0.083,3.4,0.219
2018,65115,안익훈,LG,LG,19,0.22,62,135,123,13,27,4,0,0,31,10,2,1,8,0,1,12,4,0.252,0.271,0.523,5,0.2,1.0,4,61,24,2.54,1,0.67,3.88,0.033,7.4,0.185
2018,63905,윤형준,LG,LG,20,0.217,11,23,23,0,5,1,0,0,6,3,0,0,0,0,0,9,0,0.261,0.217,0.478,1,0.5,0.0,1,3,6,0.5,1,0.0,3.65,0.043,1.0,0.163
2018,79198,윤진호,LG,LG,21,0.208,102,61,53,13,11,3,0,0,14,4,4,0,2,0,2,14,2,0.264,0.263,0.527,0,0.167,0.0,3,18,10,1.8,0,0.14,3.23,0.057,2.7,0.184
2018,65136,박지규,LG,LG,22,0.17,26,53,47,6,8,2,0,1,13,5,2,1,3,0,0,17,2,0.277,0.216,0.493,2,0.182,0.0,3,13,10,1.3,0,0.18,3.66,0.106,2.8,0.166
2018,79113,문선재,LG,LG,23,0.167,2,6,6,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0.167,0.167,0.334,0,0.0,0.0,0,0,2,0.0,0,0.0,3.83,0.0,0.0,0.117
2018,66108,홍창기,LG,LG,23,0.167,12,25,18,1,3,2,0,0,5,0,0,0,7,0,0,8,0,0.278,0.4,0.678,0,0.0,0.0,2,4,3,1.33,0,0.88,4.64,0.111,2.6,0.25
2018,66112,김기연,LG,LG,25,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,63360,장시윤,LG,LG,25,0.0,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,0,,0,,1.5,0.0,-0.2,0.0
2018,71752,김태균,한화,HH,1,0.315,73,271,254,25,80,11,0,10,121,34,0,0,13,1,4,56,7,0.476,0.358,0.834,26,0.343,0.4,21,54,64,0.84,4,0.23,3.82,0.161,38.5,0.28
2018,68730,호잉,한화,HH,2,0.306,142,590,529,85,162,47,2,30,303,110,0,5,51,10,5,93,5,0.573,0.369,0.942,43,0.335,0.5,79,104,175,0.59,14,0.55,3.88,0.267,106.2,0.309
2018,75808,정근우,한화,HH,3,0.304,102,425,375,63,114,24,1,11,173,57,1,3,39,1,7,43,12,0.461,0.377,0.838,30,0.326,0.0,36,122,99,1.23,3,0.91,3.59,0.157,61.1,0.285
2018,76753,송광민,한화,HH,4,0.297,113,460,434,63,129,24,0,18,207,79,0,4,18,0,4,93,13,0.477,0.328,0.805,36,0.243,0.0,42,121,95,1.27,8,0.19,3.59,0.18,62.1,0.267
2018,73136,이성열,한화,HH,5,0.295,131,528,485,76,143,21,1,34,268,102,1,2,35,3,5,143,9,0.553,0.347,0.9,34,0.283,0.6,56,113,88,1.28,8,0.24,3.9,0.258,86.9,0.294
2018,74163,이용규,한화,HH,6,0.293,134,575,491,82,144,14,1,1,163,36,8,5,59,0,12,62,8,0.332,0.379,0.711,44,0.327,0.0,16,162,128,1.27,2,0.95,4.03,0.039,70.1,0.254
2018,61700,강경학,한화,HH,7,0.278,77,289,245,42,68,11,1,5,96,27,1,1,38,0,4,59,7,0.392,0.382,0.774,14,0.254,0.143,17,74,45,1.64,5,0.64,4.26,0.114,37.5,0.27
2018,64717,지시완,한화,HH,8,0.275,99,224,207,22,57,7,0,7,85,29,2,1,12,0,2,55,6,0.411,0.32,0.731,8,0.309,0.292,14,38,58,0.66,5,0.22,3.82,0.135,25.9,0.247
2018,78288,최재훈,한화,HH,9,0.262,128,341,298,36,78,17,0,1,98,27,6,2,20,0,15,61,8,0.329,0.337,0.666,18,0.253,0.5,18,98,63,1.56,3,0.33,3.9,0.067,34.8,0.234
2018,79705,김회성,한화,HH,10,0.259,58,102,85,15,22,5,0,4,39,17,3,0,11,0,3,26,3,0.459,0.364,0.823,3,0.409,0.333,9,17,20,0.85,1,0.42,3.88,0.2,13.9,0.279
2018,62700,하주석,한화,HH,11,0.254,141,517,484,67,123,20,3,9,176,52,1,0,28,0,4,130,7,0.364,0.3,0.664,31,0.267,1.0,32,145,86,1.69,7,0.22,3.69,0.11,49.5,0.226
2018,62797,양성우,한화,HH,12,0.254,73,236,209,32,53,9,0,2,68,13,0,1,22,2,4,32,8,0.325,0.335,0.66,13,0.192,0.375,11,64,61,1.05,2,0.69,4.04,0.072,22.0,0.232
2018,68743,정은원,한화,HH,13,0.249,98,227,201,33,50,5,3,4,73,20,2,1,22,0,1,50,0,0.363,0.324,0.687,13,0.333,0.111,12,56,46,1.22,3,0.44,4.19,0.114,26.3,0.237
2018,60100,백진우,한화,HH,14,0.243,70,169,152,21,37,15,1,3,63,18,0,1,12,0,4,36,5,0.414,0.314,0.728,8,0.25,0.15,19,26,54,0.48,1,0.33,3.96,0.171,18.5,0.245
2018,66702,이시원,한화,HH,15,0.239,28,50,46,6,11,1,0,1,15,2,0,0,3,0,1,8,1,0.326,0.3,0.626,3,0.333,0.25,2,18,9,2.0,0,0.38,3.58,0.087,4.1,0.217
2018,78756,오선진,한화,HH,16,0.226,56,148,133,14,30,4,0,1,37,9,3,0,7,0,5,33,2,0.278,0.29,0.568,6,0.231,0.0,5,49,21,2.33,1,0.21,3.68,0.053,11.3,0.2
2018,61554,김민하,한화,HH,17,0.216,59,108,97,13,21,4,0,3,34,17,2,1,5,0,3,30,6,0.351,0.274,0.625,3,0.308,0.333,7,27,20,1.35,2,0.17,3.53,0.134,7.4,0.211
2018,66706,장진혁,한화,HH,18,0.214,50,48,42,9,9,4,1,0,15,2,0,0,4,0,2,11,0,0.357,0.313,0.67,1,0.2,0.143,5,10,12,0.83,0,0.36,4.0,0.143,4.4,0.23
2018,74729,최진행,한화,HH,19,0.213,57,154,136,14,29,3,0,7,53,13,0,0,15,0,3,53,5,0.39,0.305,0.695,3,0.189,0.071,10,32,22,1.45,2,0.28,4.15,0.176,15.6,0.235
2018,60184,김창혁,한화,HH,20,0.2,6,10,10,1,2,1,0,0,3,0,0,0,0,0,0,3,0,0.3,0.2,0.5,0,0.0,0.25,1,1,4,0.25,0,0.0,3.2,0.1,0.5,0.165
2018,64724,박준혁,한화,HH,20,0.2,4,5,5,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0.4,0.2,0.6,0,0.0,0.5,1,1,1,1.0,0,0.0,4.2,0.2,0.3,0.19
2018,66704,김태연,한화,HH,22,0.192,24,30,26,7,5,1,0,0,6,2,1,0,3,0,0,8,0,0.231,0.276,0.507,0,0.125,0.0,1,8,5,1.6,0,0.38,4.07,0.038,1.5,0.182
2018,66716,정경운,한화,HH,23,0.067,22,16,15,1,1,0,0,0,1,2,0,1,0,0,0,7,1,0.067,0.063,0.13,0,0.111,0.0,0,4,4,1.0,1,0.0,3.63,0.0,-0.8,0.045
2018,66710,강상원,한화,HH,24,0.0,6,7,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.143,0.143,0,0.0,0.0,0,1,3,0.33,0,0.5,4.14,0.0,0.0,0.064
2018,66715,김인환,한화,HH,24,0.0,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0,3,1,3.0,0,0.0,5.17,0.0,-0.6,0.0
2018,74731,송창식,한화,HH,24,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,73738,안영명,한화,HH,24,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,65703,이도윤,한화,HH,24,0.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,,0,,1.0,0.0,-0.1,0.0
2018,77452,이동걸,한화,HH,24,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,79764,장민재,한화,HH,24,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,60805,최윤석,한화,HH,24,,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,,1.0,1.0,0,0.0,0.0,0,0,0,,0,,5.5,,0.7,0.45
2018,66864,안상현,SSG,SK,1,0.5,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,0,1.0,1.0,0,0,1,0.0,0,,6.5,0.0,0.4,0.35
2018,76812,이재원,SSG,SK,2,0.329,130,471,407,63,134,24,0,17,209,57,4,5,43,0,12,65,13,0.514,0.405,0.919,40,0.308,0.4,41,106,107,0.99,2,0.66,3.98,0.184,79.1,0.311
2018,67872,로맥,SSG,SK,3,0.316,141,616,528,102,167,19,0,43,315,107,0,6,72,0,10,123,7,0.597,0.404,1.001,48,0.297,0.0,62,97,147,0.66,10,0.59,4.03,0.28,122.3,0.331
2018,63704,노수광,SSG,SK,4,0.313,135,588,515,93,161,21,8,8,222,53,9,3,48,0,13,86,3,0.431,0.383,0.814,50,0.316,0.667,37,133,138,0.96,7,0.56,3.94,0.118,88.7,0.28
2018,62802,박승욱,SSG,SK,5,0.308,51,79,65,11,20,3,0,0,23,9,2,0,10,0,2,16,1,0.354,0.416,0.77,6,0.316,0.2,3,15,14,1.07,0,0.63,4.38,0.046,10.7,0.276
2018,71837,김강민,SSG,SK,6,0.298,80,267,235,40,70,14,0,14,126,46,5,0,22,0,5,57,1,0.536,0.37,0.906,16,0.274,0.333,28,53,55,0.96,2,0.39,4.06,0.238,44.8,0.301
2018,62884,최항,SSG,SK,7,0.293,98,257,222,38,65,12,1,7,100,35,2,0,25,0,8,57,1,0.45,0.384,0.834,16,0.317,0.222,20,53,47,1.13,3,0.44,3.94,0.158,38.3,0.285
2018,62895,한유섬,SSG,SK,8,0.284,136,562,486,97,138,31,0,41,292,115,0,8,52,3,16,124,10,0.601,0.367,0.968,40,0.286,0.444,72,94,138,0.68,14,0.42,4.21,0.317,104.2,0.315
2018,76802,김성현,SSG,SK,9,0.277,135,462,415,51,115,19,1,4,148,55,6,3,29,0,9,42,19,0.357,0.336,0.693,30,0.333,0.0,24,123,138,0.89,8,0.69,3.48,0.08,46.3,0.24
2018,76869,김재현,SSG,SK,10,0.277,53,77,65,19,18,1,1,1,24,5,0,0,9,0,3,17,0,0.369,0.39,0.759,3,0.154,0.0,3,13,17,0.76,1,0.53,3.74,0.092,11.4,0.268
2018,77243,허도환,SSG,SK,11,0.273,23,24,22,4,6,0,0,1,9,1,0,0,1,0,1,8,1,0.409,0.333,0.742,0,0.0,0.0,1,5,3,1.67,0,0.13,4.08,0.136,2.7,0.252
2018,75151,정의윤,SSG,SK,12,0.272,73,239,217,27,59,9,0,11,101,38,0,1,19,1,2,29,8,0.465,0.335,0.8,18,0.31,0.176,20,60,70,0.86,1,0.66,3.54,0.194,31.7,0.267
2018,73209,나주환,SSG,SK,13,0.262,119,420,362,54,95,24,0,12,155,56,13,2,38,0,5,66,2,0.428,0.339,0.767,24,0.322,0.25,36,90,113,0.8,3,0.58,3.9,0.166,53.6,0.26
2018,63123,강승호,SSG,SK,14,0.255,69,212,184,14,47,10,0,3,66,31,6,1,18,0,3,57,2,0.359,0.33,0.689,11,0.339,0.167,13,36,45,0.8,0,0.32,3.71,0.103,22.6,0.238
2018,66838,김동엽,SSG,SK,15,0.252,124,446,421,58,106,15,0,27,202,76,1,3,17,0,4,108,13,0.48,0.285,0.765,26,0.33,0.286,42,98,112,0.88,10,0.16,3.71,0.228,57.3,0.248
2018,61652,윤정우,SSG,SK,16,0.25,22,43,40,6,10,2,0,1,15,2,0,0,2,0,1,7,4,0.375,0.302,0.677,1,0.091,0.0,3,15,8,1.88,1,0.29,3.37,0.125,3.2,0.23
2018,76158,최승준,SSG,SK,16,0.25,27,79,72,5,18,3,0,4,33,11,0,0,6,0,1,25,3,0.458,0.316,0.774,2,0.25,0.4,7,11,18,0.61,1,0.24,4.01,0.208,9.6,0.257
2018,75847,최정,SSG,SK,18,0.244,115,489,406,95,99,16,1,35,222,74,0,2,58,2,23,129,10,0.547,0.368,0.915,23,0.235,0.0,52,63,117,0.54,9,0.45,4.14,0.303,83.2,0.302
2018,61869,정진기,SSG,SK,19,0.244,96,212,201,33,49,8,1,3,68,17,3,0,6,0,2,45,2,0.338,0.273,0.611,11,0.236,0.188,12,50,57,0.88,1,0.13,3.67,0.095,18.7,0.207
2018,71184,이성우,SSG,SK,20,0.242,88,134,120,10,29,5,0,0,34,5,4,1,8,0,1,16,4,0.283,0.292,0.575,6,0.063,1.0,5,42,34,1.24,0,0.5,3.57,0.042,9.6,0.202
2018,72860,이대수,SSG,SK,21,0.2,4,6,5,1,1,1,0,0,2,0,1,0,0,0,0,2,0,0.4,0.2,0.6,0,0.0,0.0,1,2,0,,0,0.0,3.83,0.2,0.4,0.19
2018,74846,박정권,SSG,SK,22,0.172,14,31,29,4,5,0,0,2,11,6,0,0,2,0,0,9,0,0.379,0.226,0.605,0,0.182,0.0,2,5,10,0.5,0,0.22,3.81,0.207,2.8,0.196
2018,67893,박성한,SSG,SK,23,0.135,42,59,52,3,7,1,0,0,8,2,0,0,7,0,0,16,0,0.154,0.237,0.391,2,0.188,0.0,1,18,11,1.64,1,0.44,4.31,0.019,1.9,0.145
2018,64868,조용호,SSG,SK,24,0.077,16,14,13,4,1,0,0,0,1,0,1,0,0,0,0,5,0,0.077,0.077,0.154,0,0.0,0.0,0,5,2,2.5,0,0.0,3.64,0.0,-0.9,0.054
2018,79130,강지광,SSG,SK,25,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0,,4.0,0.0,-0.1,0.0
2018,75250,박정배,SSG,SK,25,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,76858,박희수,SSG,SK,25,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,75138,신재웅,SSG,SK,25,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,74838,윤희상,SSG,SK,25,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,61865,이윤재,SSG,SK,25,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,,0,,2.0,0.0,-0.1,0.0
2018,60456,백상원,삼성,SS,1,0.5,4,8,6,1,3,0,0,0,3,2,0,0,2,0,0,0,0,0.5,0.625,1.125,1,1.0,0.0,0,1,2,0.5,0,,4.88,0.0,1.9,0.406
2018,79456,이지영,삼성,SS,2,0.343,90,203,178,31,61,10,0,2,77,19,6,0,15,1,4,27,3,0.433,0.406,0.839,15,0.25,0.217,12,65,25,2.6,0,0.56,3.49,0.09,29.3,0.291
2018,64469,송준석,삼성,SS,3,0.333,4,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.333,0.333,0.666,0,0.0,0.5,0,0,1,0.0,0,0.0,5.0,0.0,0.3,0.233
2018,62404,구자욱,삼성,SS,4,0.333,116,529,478,100,159,26,5,20,255,84,1,2,43,2,5,110,4,0.533,0.392,0.925,50,0.378,0.0,51,94,117,0.8,9,0.39,4.05,0.201,94.4,0.31
2018,67450,러프,삼성,SS,5,0.33,137,597,506,97,167,32,4,33,306,125,0,8,65,0,18,107,17,0.605,0.419,1.024,52,0.366,0.0,69,114,126,0.9,9,0.61,4.12,0.275,117.2,0.34
2018,75566,이원석,삼성,SS,6,0.301,128,543,479,74,144,30,1,20,236,93,0,5,52,1,7,103,10,0.493,0.374,0.867,39,0.302,0.0,51,98,139,0.71,5,0.5,4.05,0.192,84.8,0.292
2018,61404,김헌곤,삼성,SS,7,0.3,141,586,513,77,154,26,2,11,217,71,5,4,54,1,10,70,13,0.423,0.375,0.798,46,0.319,0.0,39,162,131,1.24,4,0.77,3.91,0.123,80.9,0.275
2018,62415,박해민,삼성,SS,8,0.299,144,649,576,114,172,30,10,9,249,68,8,6,56,0,3,99,9,0.432,0.36,0.792,53,0.339,0.4,49,144,167,0.86,8,0.57,4.1,0.134,91.9,0.27
2018,61197,최영진,삼성,SS,9,0.294,61,140,126,13,37,7,0,4,56,18,2,2,10,0,0,30,6,0.444,0.341,0.785,10,0.211,0.167,11,36,25,1.44,1,0.33,3.68,0.151,16.6,0.264
2018,71432,박한이,삼성,SS,10,0.284,114,392,342,47,97,16,0,10,143,43,6,1,43,2,0,91,9,0.418,0.363,0.781,24,0.289,0.222,26,81,74,1.09,3,0.47,4.19,0.135,50.3,0.268
2018,77466,최원제,삼성,SS,11,0.273,8,13,11,1,3,0,0,0,3,0,0,0,1,0,1,5,0,0.273,0.385,0.658,1,0.0,0.25,0,0,3,0.0,0,0.2,4.46,0.0,1.4,0.242
2018,74540,강민호,삼성,SS,12,0.269,129,477,427,46,115,14,0,22,195,71,0,7,29,5,14,96,11,0.457,0.331,0.788,32,0.225,0.273,36,122,101,1.21,10,0.3,3.68,0.187,65.1,0.263
2018,79402,김상수,삼성,SS,13,0.263,122,499,453,63,119,13,1,10,164,50,8,3,27,0,8,91,11,0.362,0.314,0.676,32,0.2,0.0,24,132,114,1.16,5,0.3,3.94,0.099,50.1,0.232
2018,64610,강한울,삼성,SS,14,0.259,83,209,193,20,50,5,2,0,59,8,3,0,12,0,1,34,1,0.306,0.306,0.612,8,0.17,0.25,7,69,40,1.73,2,0.35,4.15,0.047,17.5,0.214
2018,64410,백승민,삼성,SS,15,0.258,14,32,31,3,8,2,0,0,10,5,0,0,1,0,0,9,1,0.323,0.281,0.604,2,0.182,0.333,2,7,7,1.0,2,0.11,4.06,0.065,2.3,0.207
