season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2018,68159,성동현,LG,LG,1,0.0,1,1,0,0,0,1.0,1/3,1,0,0,0,0,0,0,3.0,0,0,0,0,2,11,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.5,11.0,33.0,0.0,0.0,,0.5,0.5,1.0
2018,61891,임정우,LG,LG,1,0.0,2,0,0,0,0,,2/3,1,0,2,0,1,0,0,4.5,0,0,0,0,5,24,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,12.0,36.0,13.5,27.0,0.5,0.6,0.667,1.267
2018,60105,배민관,LG,LG,3,1.64,8,0,0,0,0,,11,9,0,4,2,11,2,2,1.18,0,0,0,0,51,209,0.209,3,0,0,2,0,3,0,0,0,0,5,0,0,0,12,13,0.92,0.265,26.1,19.0,9.0,3.27,2.75,0.294,0.279,0.573
2018,68135,윌슨,LG,LG,4,3.07,26,9,4,0,0,0.692,170,158,11,35,6,149,63,58,1.14,1,1,20,0,689,2632,0.247,23,3,6,3,1,10,1,26,9,0,1,0,0,16,219,116,1.89,0.305,101.2,15.5,7.89,1.85,4.26,0.291,0.344,0.635
2018,62698,소사,LG,LG,5,3.52,27,9,9,0,0,0.5,181 1/3,192,16,28,4,181,83,71,1.21,1,1,18,0,760,2751,0.267,44,1,2,6,1,6,0,27,9,0,1,0,0,14,158,195,0.81,0.333,101.9,15.2,8.98,1.39,6.46,0.296,0.397,0.693
2018,62146,최성훈,LG,LG,6,3.78,24,0,0,0,3,,16 2/3,17,4,9,1,14,7,7,1.56,0,0,0,0,74,270,0.27,4,0,1,0,1,2,0,0,0,0,2,4,0,3,23,9,2.56,0.289,11.3,16.2,7.56,4.86,1.56,0.37,0.524,0.894
2018,61329,윤지웅,LG,LG,7,4.26,10,0,0,0,0,,6 1/3,9,0,3,3,4,4,3,1.89,0,0,0,0,33,123,0.333,2,0,0,0,0,0,0,0,0,0,3,0,0,0,10,4,2.5,0.391,12.3,19.4,5.68,4.26,1.33,0.455,0.407,0.862
2018,68130,김영준,LG,LG,8,4.35,14,2,1,0,0,0.667,20 2/3,19,3,15,3,16,12,10,1.65,0,0,0,0,100,396,0.238,0,0,1,1,0,3,0,2,0,2,5,0,0,1,24,22,1.09,0.258,28.3,19.2,6.97,6.53,1.07,0.374,0.35,0.724
2018,63145,배재준,LG,LG,9,4.42,16,1,0,0,0,1.0,38 2/3,34,3,20,1,41,24,19,1.4,0,0,1,0,174,726,0.225,11,1,0,2,0,3,0,5,1,0,2,0,0,1,35,43,0.81,0.284,45.4,18.8,9.54,4.66,2.05,0.316,0.371,0.687
2018,79140,최동환,LG,LG,10,4.62,28,1,0,0,1,1.0,37,33,6,11,3,28,19,19,1.19,0,0,0,0,156,607,0.237,7,0,2,1,0,4,0,0,0,1,5,1,0,3,32,47,0.68,0.255,21.7,16.4,6.81,2.68,2.55,0.305,0.417,0.722
