season_year,player_id,player_name,team_name,team_code,rank_no,g,sba,sb,cs,sb_rate,oob,pko
2018,79150,정주현,LG,LG,1,115,21,18,3,85.7,3,0
2018,78217,김용의,LG,LG,2,114,11,10,1,90.9,0,1
2018,79109,오지환,LG,LG,2,144,15,10,5,66.7,2,3
2018,61186,이천웅,LG,LG,2,112,20,10,10,50.0,2,0
2018,78135,이형종,LG,LG,5,118,10,6,4,60.0,5,2
2018,68103,가르시아,LG,LG,6,50,5,5,0,100.0,3,0
2018,72133,박용택,LG,LG,7,134,6,3,3,50.0,7,0
2018,79192,채은성,LG,LG,7,139,4,3,1,75.0,1,1
2018,65136,박지규,LG,LG,9,26,2,2,0,100.0,1,0
2018,64153,양석환,LG,LG,9,140,4,2,2,50.0,5,0
2018,76290,김현수,LG,LG,11,117,4,1,3,25.0,5,0
2018,66112,김기연,LG,LG,12,2,0,0,0,,0,0
2018,61114,김재율,LG,LG,12,25,0,0,0,,0,0
2018,79113,문선재,LG,LG,12,2,0,0,0,,0,0
2018,68119,문성주,LG,LG,12,5,0,0,0,,1,0
2018,65109,백승현,LG,LG,12,5,0,0,0,,0,0
2018,62164,서상우,LG,LG,12,51,1,0,1,0.0,0,0
2018,65115,안익훈,LG,LG,12,62,1,0,1,0.0,2,0
2018,64117,양원혁,LG,LG,12,7,0,0,0,,0,0
2018,61102,유강남,LG,LG,12,132,0,0,0,,4,0
2018,63905,윤형준,LG,LG,12,11,0,0,0,,1,0
2018,79198,윤진호,LG,LG,12,102,1,0,1,0.0,1,0
2018,74823,임훈,LG,LG,12,54,0,0,0,,0,0
2018,63360,장시윤,LG,LG,12,8,0,0,0,,0,0
2018,71842,정상호,LG,LG,12,70,1,0,1,0.0,1,0
2018,66108,홍창기,LG,LG,12,12,1,0,1,0.0,1,0
2018,74163,이용규,한화,HH,1,134,41,30,11,73.2,8,0
2018,68730,호잉,한화,HH,2,142,32,23,9,71.9,4,2
2018,62700,하주석,한화,HH,3,141,26,14,12,53.8,3,2
2018,73136,이성열,한화,HH,4,131,16,9,7,56.3,2,0
2018,78288,최재훈,한화,HH,5,128,8,8,0,100.0,6,0
2018,61700,강경학,한화,HH,6,77,9,6,3,66.7,1,2
2018,75808,정근우,한화,HH,6,102,11,6,5,54.5,8,0
2018,61554,김민하,한화,HH,8,59,10,5,5,50.0,1,0
2018,68743,정은원,한화,HH,8,98,6,5,1,83.3,1,2
2018,76753,송광민,한화,HH,10,113,8,4,4,50.0,5,0
2018,78756,오선진,한화,HH,11,56,3,3,0,100.0,0,0
2018,66710,강상원,한화,HH,12,6,1,1,0,100.0,0,0
2018,79705,김회성,한화,HH,12,58,1,1,0,100.0,1,0
2018,62797,양성우,한화,HH,12,73,2,1,1,50.0,1,1
2018,66706,장진혁,한화,HH,12,50,3,1,2,33.3,2,0
2018,64717,지시완,한화,HH,12,99,1,1,0,100.0,2,0
2018,66715,김인환,한화,HH,17,4,0,0,0,,0,0
2018,60184,김창혁,한화,HH,17,6,0,0,0,,0,0
2018,71752,김태균,한화,HH,17,73,1,0,1,0.0,5,0
2018,66704,김태연,한화,HH,17,24,1,0,1,0.0,0,0
2018,64724,박준혁,한화,HH,17,4,0,0,0,,0,0
2018,60100,백진우,한화,HH,17,70,0,0,0,,3,0
2018,74731,송창식,한화,HH,17,1,0,0,0,,0,0
2018,73738,안영명,한화,HH,17,2,0,0,0,,0,0
2018,65703,이도윤,한화,HH,17,2,0,0,0,,0,0
2018,77452,이동걸,한화,HH,17,1,0,0,0,,0,0
2018,66702,이시원,한화,HH,17,28,1,0,1,0.0,1,0
2018,79764,장민재,한화,HH,17,1,0,0,0,,0,0
2018,66716,정경운,한화,HH,17,22,0,0,0,,0,0
2018,60805,최윤석,한화,HH,17,2,0,0,0,,0,0
2018,74729,최진행,한화,HH,17,57,1,0,1,0.0,4,1
2018,63704,노수광,SSG,SK,1,135,29,25,4,86.2,6,1
2018,66838,김동엽,SSG,SK,2,124,13,11,2,84.6,5,2
2018,61869,정진기,SSG,SK,2,96,14,11,3,78.6,1,0
2018,71837,김강민,SSG,SK,4,80,16,10,6,62.5,4,1
2018,67872,로맥,SSG,SK,4,141,15,10,5,66.7,7,1
2018,75847,최정,SSG,SK,6,115,11,9,2,81.8,2,0
2018,76869,김재현,SSG,SK,7,53,8,7,1,87.5,2,0
2018,76802,김성현,SSG,SK,8,135,8,6,2,75.0,4,0
2018,73209,나주환,SSG,SK,9,119,11,5,6,45.5,4,0
2018,62802,박승욱,SSG,SK,10,51,5,4,1,80.0,1,2
2018,62895,한유섬,SSG,SK,10,136,6,4,2,66.7,4,1
2018,61652,윤정우,SSG,SK,12,22,3,2,1,66.7,0,0
2018,62884,최항,SSG,SK,12,98,4,2,2,50.0,3,0
2018,63123,강승호,SSG,SK,14,69,2,1,1,50.0,5,0
2018,71184,이성우,SSG,SK,14,88,1,1,0,100.0,1,0
2018,75151,정의윤,SSG,SK,14,73,2,1,1,50.0,1,0
2018,79130,강지광,SSG,SK,17,1,0,0,0,,0,0
2018,67893,박성한,SSG,SK,17,42,0,0,0,,0,0
2018,74846,박정권,SSG,SK,17,14,0,0,0,,0,0
2018,75250,박정배,SSG,SK,17,4,0,0,0,,0,0
2018,76858,박희수,SSG,SK,17,2,0,0,0,,0,0
2018,75138,신재웅,SSG,SK,17,3,0,0,0,,0,0
2018,66864,안상현,SSG,SK,17,1,0,0,0,,0,0
2018,74838,윤희상,SSG,SK,17,1,0,0,0,,0,0
2018,72860,이대수,SSG,SK,17,4,0,0,0,,0,0
2018,61865,이윤재,SSG,SK,17,1,0,0,0,,0,0
2018,76812,이재원,SSG,SK,17,130,0,0,0,,4,1
2018,64868,조용호,SSG,SK,17,16,1,0,1,0.0,0,0
2018,76158,최승준,SSG,SK,17,27,0,0,0,,0,1
2018,77243,허도환,SSG,SK,17,23,0,0,0,,0,0
2018,62415,박해민,삼성,SS,1,144,46,36,10,78.3,7,1
2018,61404,김헌곤,삼성,SS,2,141,31,22,9,71.0,8,1
2018,79402,김상수,삼성,SS,3,122,21,12,9,57.1,2,0
2018,66462,김성훈,삼성,SS,3,110,18,12,6,66.7,3,0
2018,62404,구자욱,삼성,SS,5,116,10,10,0,100.0,4,0
2018,67450,러프,삼성,SS,6,137,8,5,3,62.5,3,1
2018,71432,박한이,삼성,SS,6,114,8,5,3,62.5,2,0
2018,64610,강한울,삼성,SS,8,83,7,3,4,42.9,2,0
2018,62409,박찬도,삼성,SS,8,54,6,3,3,50.0,0,0
2018,72456,손주인,삼성,SS,8,98,3,3,0,100.0,1,0
2018,75566,이원석,삼성,SS,11,128,3,2,1,66.7,5,0
2018,61197,최영진,삼성,SS,11,61,6,2,4,33.3,2,1
2018,79465,배영섭,삼성,SS,13,69,1,1,0,100.0,0,0
2018,74540,강민호,삼성,SS,14,129,0,0,0,,4,0
2018,65412,권정웅,삼성,SS,14,6,0,0,0,,0,0
2018,64793,김민수,삼성,SS,14,8,0,0,0,,0,0
2018,67449,김성윤,삼성,SS,14,1,0,0,0,,0,0
