season_year,team_name,rank_no,games,wins,losses,draws,win_rate,game_gap,last10,streak,home,away,series
2018,삼성,1,43,25,17,1,0.595,0,7승0무3패,1승,13-1-9,12-0-8,
2018,KT,1,43,25,17,1,0.595,0,3승1무6패,1패,13-0-10,12-1-7,
2018,LG,3,43,25,18,0,0.581,0.5,4승0무6패,1패,14-0-9,11-0-9,
2018,SSG,4,43,22,20,1,0.524,3,4승0무6패,2패,10-1-11,12-0-9,
2018,KIA,5,44,22,21,1,0.512,3.5,7승0무3패,2승,12-1-8,10-0-13,
2018,두산,6,44,21,22,1,0.488,4.5,6승0무4패,3승,12-0-9,9-1-13,
2018,한화,7,43,20,23,0,0.465,5.5,6승0무4패,2패,6-0-15,14-0-8,
2018,NC,8,43,18,24,1,0.429,7,3승0무7패,2패,9-0-12,9-1-12,
2018,롯데,9,42,17,24,1,0.415,7.5,4승0무6패,1승,6-0-13,11-1-11,
2018,키움,10,44,17,26,1,0.395,8.5,5승1무4패,2승,11-1-10,6-0-16,
2019,삼성,1,43,25,17,1,0.595,0,7승0무3패,1승,13-1-9,12-0-8,
2019,KT,1,43,25,17,1,0.595,0,3승1무6패,1패,13-0-10,12-1-7,
2019,LG,3,43,25,18,0,0.581,0.5,4승0무6패,1패,14-0-9,11-0-9,
2019,SSG,4,43,22,20,1,0.524,3,4승0무6패,2패,10-1-11,12-0-9,
2019,KIA,5,44,22,21,1,0.512,3.5,7승0무3패,2승,12-1-8,10-0-13,
2019,두산,6,44,21,22,1,0.488,4.5,6승0무4패,3승,12-0-9,9-1-13,
2019,한화,7,43,20,23,0,0.465,5.5,6승0무4패,2패,6-0-15,14-0-8,
2019,NC,8,43,18,24,1,0.429,7,3승0무7패,2패,9-0-12,9-1-12,
2019,롯데,9,42,17,24,1,0.415,7.5,4승0무6패,1승,6-0-13,11-1-11,
2019,키움,10,44,17,26,1,0.395,8.5,5승1무4패,2승,11-1-10,6-0-16,
2020,삼성,1,43,25,17,1,0.595,0,7승0무3패,1승,13-1-9,12-0-8,
2020,KT,1,43,25,17,1,0.595,0,3승1무6패,1패,13-0-10,12-1-7,
2020,LG,3,43,25,18,0,0.581,0.5,4승0무6패,1패,14-0-9,11-0-9,
2020,SSG,4,43,22,20,1,0.524,3,4승0무6패,2패,10-1-11,12-0-9,
2020,KIA,5,44,22,21,1,0.512,3.5,7승0무3패,2승,12-1-8,10-0-13,
2020,두산,6,44,21,22,1,0.488,4.5,6승0무4패,3승,12-0-9,9-1-13,
2020,한화,7,43,20,23,0,0.465,5.5,6승0무4패,2패,6-0-15,14-0-8,
2020,NC,8,43,18,24,1,0.429,7,3승0무7패,2패,9-0-12,9-1-12,
2020,롯데,9,42,17,24,1,0.415,7.5,4승0무6패,1승,6-0-13,11-1-11,
2020,키움,10,44,17,26,1,0.395,8.5,5승1무4패,2승,11-1-10,6-0-16,
2021,삼성,1,43,25,17,1,0.595,0,7승0무3패,1승,13-1-9,12-0-8,
2021,KT,1,43,25,17,1,0.595,0,3승1무6패,1패,13-0-10,12-1-7,
2021,LG,3,43,25,18,0,0.581,0.5,4승0무6패,1패,14-0-9,11-0-9,
2021,SSG,4,43,22,20,1,0.524,3,4승0무6패,2패,10-1-11,12-0-9,
2021,KIA,5,44,22,21,1,0.512,3.5,7승0무3패,2승,12-1-8,10-0-13,
2021,두산,6,44,21,22,1,0.488,4.5,6승0무4패,3승,12-0-9,9-1-13,
2021,한화,7,43,20,23,0,0.465,5.5,6승0무4패,2패,6-0-15,14-0-8,
2021,NC,8,43,18,24,1,0.429,7,3승0무7패,2패,9-0-12,9-1-12,
2021,롯데,9,42,17,24,1,0.415,7.5,4승0무6패,1승,6-0-13,11-1-11,
2021,키움,10,44,17,26,1,0.395,8.5,5승1무4패,2승,11-1-10,6-0-16,
2022,삼성,1,43,25,17,1,0.595,0,7승0무3패,1승,13-1-9,12-0-8,
2022,KT,1,43,25,17,1,0.595,0,3승1무6패,1패,13-0-10,12-1-7,
2022,LG,3,43,25,18,0,0.581,0.5,4승0무6패,1패,14-0-9,11-0-9,
2022,SSG,4,43,22,20,1,0.524,3,4승0무6패,2패,10-1-11,12-0-9,
2022,KIA,5,44,22,21,1,0.512,3.5,7승0무3패,2승,12-1-8,10-0-13,
2022,두산,6,44,21,22,1,0.488,4.5,6승0무4패,3승,12-0-9,9-1-13,
2022,한화,7,43,20,23,0,0.465,5.5,6승0무4패,2패,6-0-15,14-0-8,
2022,NC,8,43,18,24,1,0.429,7,3승0무7패,2패,9-0-12,9-1-12,
2022,롯데,9,42,17,24,1,0.415,7.5,4승0무6패,1승,6-0-13,11-1-11,
2022,키움,10,44,17,26,1,0.395,8.5,5승1무4패,2승,11-1-10,6-0-16,
2023,삼성,1,43,25,17,1,0.595,0,7승0무3패,1승,13-1-9,12-0-8,
2023,KT,1,43,25,17,1,0.595,0,3승1무6패,1패,13-0-10,12-1-7,
2023,LG,3,43,25,18,0,0.581,0.5,4승0무6패,1패,14-0-9,11-0-9,
2023,SSG,4,43,22,20,1,0.524,3,4승0무6패,2패,10-1-11,12-0-9,
2023,KIA,5,44,22,21,1,0.512,3.5,7승0무3패,2승,12-1-8,10-0-13,
2023,두산,6,44,21,22,1,0.488,4.5,6승0무4패,3승,12-0-9,9-1-13,
2023,한화,7,43,20,23,0,0.465,5.5,6승0무4패,2패,6-0-15,14-0-8,
2023,NC,8,43,18,24,1,0.429,7,3승0무7패,2패,9-0-12,9-1-12,
2023,롯데,9,42,17,24,1,0.415,7.5,4승0무6패,1승,6-0-13,11-1-11,
2023,키움,10,44,17,26,1,0.395,8.5,5승1무4패,2승,11-1-10,6-0-16,
2024,삼성,1,43,25,17,1,0.595,0,7승0무3패,1승,13-1-9,12-0-8,
2024,KT,1,43,25,17,1,0.595,0,3승1무6패,1패,13-0-10,12-1-7,
2024,LG,3,43,25,18,0,0.581,0.5,4승0무6패,1패,14-0-9,11-0-9,
2024,SSG,4,43,22,20,1,0.524,3,4승0무6패,2패,10-1-11,12-0-9,
2024,KIA,5,44,22,21,1,0.512,3.5,7승0무3패,2승,12-1-8,10-0-13,
2024,두산,6,44,21,22,1,0.488,4.5,6승0무4패,3승,12-0-9,9-1-13,
2024,한화,7,43,20,23,0,0.465,5.5,6승0무4패,2패,6-0-15,14-0-8,
2024,NC,8,43,18,24,1,0.429,7,3승0무7패,2패,9-0-12,9-1-12,
2024,롯데,9,42,17,24,1,0.415,7.5,4승0무6패,1승,6-0-13,11-1-11,
2024,키움,10,44,17,26,1,0.395,8.5,5승1무4패,2승,11-1-10,6-0-16,
