season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2021,79109,오지환,LG,LG,1,유격수,132,129,1060 2/3,13,0,175,359,90,0.976,0,0,0,
2021,78168,서건창,LG,LG,2,2루수,131,127,1038 1/3,8,0,253,307,82,0.986,0,0,0,
2021,61102,유강남,LG,LG,3,포수,129,117,961,3,1,829,66,7,0.997,9,77,23,23.0
2021,77564,김민성,LG,LG,4,3루수,117,107,854,7,0,54,176,22,0.97,0,0,0,
2021,66108,홍창기,LG,LG,5,중견수,116,108,891,2,0,194,3,1,0.99,0,0,0,
2021,79192,채은성,LG,LG,6,우익수,84,79,641 1/3,1,0,147,4,1,0.993,0,0,0,
2021,76290,김현수,LG,LG,7,좌익수,80,76,615 2/3,0,0,112,1,0,1.0,0,0,0,
2021,78217,김용의,LG,LG,8,1루수,79,3,155 2/3,1,0,153,15,18,0.994,0,0,0,
2021,79150,정주현,LG,LG,9,2루수,72,67,505,12,0,110,188,44,0.961,0,0,0,
2021,69159,정우영,LG,LG,10,투수,70,0,65,1,0,6,19,2,0.962,0,0,0,
2021,69134,이정용,LG,LG,11,투수,66,0,69 2/3,1,0,3,8,2,0.917,0,0,0,
2021,60337,김대유,LG,LG,12,투수,64,0,50 2/3,2,1,2,8,0,0.833,0,0,0,
2021,67119,고우석,LG,LG,13,투수,63,0,58,0,0,2,11,1,1.0,0,0,0,
2021,69102,문보경,LG,LG,14,1루수,61,48,390 2/3,2,0,403,38,45,0.995,0,0,0,
2021,69100,구본혁,LG,LG,15,2루수,55,0,89,1,0,23,19,7,0.977,0,0,0,
2021,65132,김재성,LG,LG,15,포수,55,16,198 2/3,1,0,162,13,1,0.994,2,13,5,27.8
2021,76650,진해수,LG,LG,18,투수,50,0,44 1/3,0,0,4,9,1,1.0,0,0,0,
2021,62146,최성훈,LG,LG,19,투수,46,0,40 2/3,1,0,4,1,1,0.833,0,0,0,
2021,61186,이천웅,LG,LG,21,중견수,42,30,266 1/3,0,0,60,1,1,1.0,0,0,0,
2021,50165,라모스,LG,LG,22,1루수,37,37,287,4,0,286,24,35,0.987,0,0,0,
2021,50157,김윤식,LG,LG,23,투수,35,3,66 2/3,0,0,4,9,0,1.0,0,0,0,
2021,73801,송은범,LG,LG,23,투수,35,0,37 1/3,1,0,2,6,1,0.889,0,0,0,
2021,68106,이재원,LG,LG,23,우익수,35,22,217,0,0,49,1,0,1.0,0,0,0,
2021,71184,이성우,LG,LG,27,포수,34,11,112 2/3,1,0,101,5,1,0.991,1,8,1,11.1
2021,69103,켈리,LG,LG,29,투수,30,30,177,1,0,11,19,1,0.968,0,0,0,
2021,51144,보어,LG,LG,30,1루수,28,27,200,3,0,182,12,21,0.985,0,0,0,
2021,60566,이상호,LG,LG,31,2루수,26,8,97,0,0,21,33,8,1.0,0,0,0,
