season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2021,LG,team_pitcher,1,0.238,3.57,144,,,561,1126,197,18,80,,,45,43,545,18,98,1068,,,,,,,,72,58,32,81,0.554,1272 1/3,505,1.31,0,18,50,14,5453,21456,43,5,,,,,,,,,,,,,
2021,KT,team_pitcher,2,0.246,3.67,144,,,584,1176,184,13,86,,,46,48,489,18,42,1062,,,,,,,,76,59,33,74,0.563,1264,515,1.32,2,6,76,16,5397,20893,56,1,,,,,,,,,,,,,
2021,두산,team_pitcher,3,0.267,4.26,144,,,656,1295,212,21,104,,,61,61,587,16,73,1045,,,,,,,,71,65,28,61,0.522,1269 1/3,601,1.48,2,10,55,15,5631,22163,52,7,,,,,,,,,,,,,
2021,삼성,team_pitcher,4,0.266,4.3,144,,,658,1297,230,24,131,,,45,36,530,13,51,1038,,,,,,,,76,59,46,80,0.563,1259,601,1.45,2,14,66,13,5536,21926,58,3,,,,,,,,,,,,,
2021,키움,team_pitcher,5,0.264,4.31,144,,,700,1281,223,7,101,,,55,48,566,27,80,900,,,,,,,,70,67,30,56,0.511,1263 1/3,605,1.46,1,7,57,16,5599,21670,59,4,,,,,,,,,,,,,
2021,NC,team_pitcher,6,0.26,4.54,144,,,697,1268,231,15,125,,,34,41,592,14,77,1055,,,,,,,,67,68,33,80,0.496,1256 2/3,634,1.48,3,10,53,18,5622,22346,75,8,,,,,,,,,,,,,
2021,한화,team_pitcher,7,0.252,4.65,144,,,739,1208,223,19,115,,,46,63,673,23,101,1011,,,,,,,,49,83,21,62,0.371,1258 2/3,650,1.49,1,6,41,19,5672,22852,56,11,,,,,,,,,,,,,
2021,SSG,team_pitcher,8,0.265,4.82,144,,,741,1296,214,14,149,,,54,50,629,27,78,1012,,,,,,,,66,64,25,56,0.508,1276 2/3,684,1.51,0,5,42,24,5706,22459,41,9,,,,,,,,,,,,,
2021,KIA,team_pitcher,9,0.265,4.89,144,,,752,1286,214,16,134,,,58,63,622,5,104,951,,,,,,,,58,76,36,94,0.433,1269,690,1.5,1,6,39,16,5701,22375,59,9,,,,,,,,,,,,,
2021,롯데,team_pitcher,10,0.271,5.37,144,,,808,1333,253,16,133,,,53,40,659,19,87,1054,,,,,,,,65,71,37,76,0.478,1271,758,1.57,1,12,46,15,5759,22835,102,5,,,,,,,,,,,,,
