season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2026,54166,김현종,LG,LG,1,0.5,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,0,0.0,0.0,0,0,1,0.0,0,,3.0,0.0,0.4,0.35
2026,68119,문성주,LG,LG,2,0.366,26,97,82,6,30,6,0,0,36,12,2,2,9,2,2,11,0,0.439,0.432,0.871,8,0.409,0.333,6,20,23,0.87,4,0.82,3.98,0.073,15.8,0.304
2026,53123,오스틴,LG,LG,3,0.365,38,178,159,31,58,10,3,9,101,32,0,1,17,1,1,20,3,0.635,0.427,1.062,16,0.386,0.0,22,32,50,0.64,4,0.85,3.58,0.27,37.0,0.351
2026,69100,구본혁,LG,LG,4,0.329,37,98,82,11,27,1,0,0,28,8,5,0,10,0,1,14,1,0.341,0.409,0.75,7,0.292,0.667,1,20,21,0.95,3,0.71,3.64,0.012,12.6,0.269
2026,68110,송찬의,LG,LG,5,0.31,21,74,58,13,18,3,0,5,36,14,0,0,9,0,7,14,4,0.621,0.459,1.08,4,0.211,1.0,8,13,13,1.0,1,0.64,3.72,0.31,14.6,0.362
2026,69102,문보경,LG,LG,6,0.31,30,132,100,14,31,3,0,3,43,19,0,2,29,2,1,21,3,0.43,0.462,0.892,8,0.433,0.0,6,30,20,1.5,2,1.38,4.14,0.12,22.3,0.315
2026,50054,천성호,LG,LG,7,0.31,37,139,126,22,39,7,1,1,51,15,2,0,10,0,1,19,4,0.405,0.365,0.77,12,0.242,0.5,9,45,23,1.96,2,0.53,3.76,0.095,17.6,0.266
2026,51100,이영빈,LG,LG,8,0.278,19,22,18,3,5,1,0,0,6,2,0,0,4,0,0,5,0,0.333,0.409,0.742,0,0.0,0.0,1,5,3,1.67,0,0.8,4.27,0.056,2.9,0.267
2026,62415,박해민,LG,LG,9,0.273,38,146,121,13,33,6,0,0,39,16,6,5,11,0,3,19,0,0.322,0.336,0.658,7,0.294,0.0,6,22,52,0.42,3,0.58,4.03,0.05,17.6,0.232
2026,79109,오지환,LG,LG,10,0.257,35,125,105,13,27,5,0,2,38,20,4,2,12,0,2,19,1,0.362,0.339,0.701,6,0.294,0.0,7,34,27,1.26,2,0.63,3.99,0.105,14.5,0.243
2026,79365,박동원,LG,LG,11,0.21,34,121,100,12,21,5,0,1,29,13,1,2,15,1,3,31,3,0.29,0.325,0.615,3,0.171,0.0,6,26,24,1.08,0,0.48,3.82,0.08,10.6,0.219
2026,65207,신민재,LG,LG,12,0.196,37,131,112,11,22,0,0,0,22,5,3,0,15,0,1,21,2,0.196,0.297,0.493,6,0.233,0.0,0,55,14,3.93,0,0.71,4.04,0.0,8.1,0.183
2026,66108,홍창기,LG,LG,13,0.191,34,152,115,17,22,4,1,0,28,8,1,1,30,0,5,32,4,0.243,0.377,0.62,4,0.185,0.0,5,40,22,1.82,1,0.94,4.43,0.052,15.0,0.23
2026,52154,이주헌,LG,LG,14,0.167,20,33,30,2,5,0,0,0,5,2,1,0,1,0,1,10,0,0.167,0.219,0.386,1,0.25,0.0,0,8,7,1.14,0,0.1,4.06,0.0,0.9,0.14
2026,68106,이재원,LG,LG,15,0.162,18,43,37,2,6,1,0,1,10,5,0,1,4,0,1,18,0,0.27,0.256,0.526,1,0.111,0.0,2,7,7,1.0,1,0.22,4.49,0.108,3.0,0.183
2026,52103,최원영,LG,LG,16,0.143,25,15,14,7,2,1,0,0,3,1,1,0,0,0,0,3,1,0.214,0.143,0.357,0,0.2,0.0,1,3,6,0.5,0,0.0,3.53,0.071,-0.1,0.118
2026,53103,강민균,LG,LG,17,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,64793,김민수,LG,LG,17,0.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,2,0.5,0,,3.67,0.0,-0.3,0.0
2026,69105,김성진,LG,LG,17,0.0,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.2,0.2,0,0.0,0.0,0,2,0,,0,0.5,4.8,0.0,0.0,0.09
2026,66162,김주성,LG,LG,17,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,1,1.0,0,,3.0,0.0,-0.2,0.0
2026,54156,손용준,LG,LG,17,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,51526,우강훈,LG,LG,17,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,63950,장현식,LG,LG,17,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,51762,장규현,한화,HH,1,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0,0,0.0,1.0,0,0,0,,0,,2.0,0.0,0.5,0.7
2026,68050,강백호,한화,HH,2,0.34,38,175,153,27,52,11,0,8,87,41,0,1,21,0,0,31,4,0.569,0.417,0.986,17,0.489,0.0,19,44,27,1.63,2,0.68,4.27,0.229,32.6,0.33
2026,54730,페라자,한화,HH,3,0.338,38,181,148,36,50,10,0,6,78,23,1,3,29,1,0,29,3,0.527,0.439,0.966,12,0.318,0.0,16,25,47,0.53,1,1.0,4.08,0.189,33.9,0.329
2026,68700,이원석,한화,HH,4,0.316,29,84,76,11,24,2,2,0,30,8,1,0,6,0,1,13,1,0.395,0.373,0.768,6,0.5,0.5,4,23,16,1.44,0,0.46,3.71,0.079,10.0,0.267
2026,53764,문현빈,한화,HH,5,0.308,36,172,143,27,44,10,2,7,79,28,0,0,27,0,2,18,5,0.552,0.424,0.976,10,0.333,0.0,19,45,36,1.25,1,1.5,3.73,0.245,30.9,0.329
2026,52764,허인서,한화,HH,6,0.297,30,87,74,19,22,2,0,7,45,22,1,2,8,1,2,22,0,0.608,0.372,0.98,4,0.4,0.0,9,10,22,0.45,3,0.36,3.66,0.311,16.9,0.319
2026,65703,이도윤,한화,HH,7,0.292,30,81,72,9,21,3,1,0,26,9,2,0,6,0,1,12,0,0.361,0.354,0.715,5,0.333,0.0,4,22,17,1.29,0,0.5,3.65,0.069,9.5,0.25
2026,66704,김태연,한화,HH,8,0.286,30,77,63,11,18,1,0,1,22,4,5,0,8,0,1,10,2,0.349,0.375,0.724,3,0.222,0.0,2,17,18,0.94,1,0.8,3.7,0.063,8.4,0.256
2026,54795,황영묵,한화,HH,9,0.269,23,63,52,10,14,2,1,0,18,12,1,0,8,0,2,8,1,0.346,0.387,0.733,3,0.381,0.0,3,19,11,1.73,1,1.0,4.16,0.077,7.6,0.261
2026,64006,심우준,한화,HH,10,0.266,30,109,94,21,25,4,0,2,35,14,0,0,13,0,2,20,1,0.372,0.367,0.739,8,0.276,0.0,6,29,20,1.45,1,0.65,4.07,0.106,14.2,0.258
2026,62700,하주석,한화,HH,11,0.256,27,85,78,5,20,2,0,0,22,6,1,0,5,0,1,21,1,0.282,0.31,0.592,5,0.304,0.333,2,26,11,2.36,1,0.24,3.58,0.026,6.8,0.21
2026,69737,노시환,한화,HH,12,0.256,31,146,129,25,33,4,0,7,58,24,1,2,11,0,3,40,3,0.45,0.324,0.774,10,0.171,0.0,11,23,35,0.66,2,0.28,4.18,0.194,19.1,0.258
2026,50709,박정현,한화,HH,13,0.25,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.25,0.25,0.5,0,0.0,0.0,0,0,1,0.0,0,0.0,3.75,0.0,0.2,0.175
2026,50707,최인호,한화,HH,13,0.25,9,8,8,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0.25,0.25,0.5,0,0.5,0.2,0,1,4,0.25,0,0.0,4.13,0.0,0.5,0.175
2026,79192,채은성,한화,HH,15,0.245,28,115,102,10,25,3,0,2,34,12,0,2,8,0,3,21,5,0.333,0.313,0.646,8,0.227,1.0,5,30,28,1.07,0,0.38,3.82,0.088,10.8,0.224
2026,66657,이진영,한화,HH,16,0.217,18,50,46,6,10,1,0,2,17,7,0,0,4,0,0,14,1,0.37,0.28,0.65,3,0.188,0.0,3,14,8,1.75,0,0.29,4.34,0.152,4.9,0.219
2026,56754,오재원,한화,HH,17,0.175,32,69,63,12,11,1,0,0,12,4,1,0,5,0,0,10,1,0.19,0.235,0.425,3,0.214,0.0,1,27,15,1.8,1,0.5,3.75,0.016,2.3,0.153
2026,78288,최재훈,한화,HH,18,0.172,25,73,58,6,10,0,0,0,10,6,2,2,6,0,5,13,2,0.172,0.296,0.468,0,0.087,0.0,0,17,20,0.85,1,0.46,4.1,0.0,4.4,0.176
2026,53754,김서현,한화,HH,19,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,65616,이민우,한화,HH,19,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,56793,최유빈,한화,HH,19,,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,56760,쿠싱,한화,HH,19,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,52804,석정우,SSG,SK,1,0.5,3,3,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0.5,0.667,1.167,0,0.5,0.0,0,0,0,,0,1.0,4.67,0.0,0.7,0.425
2026,69804,채현우,SSG,SK,2,0.467,22,17,15,7,7,1,0,0,8,3,0,2,0,0,0,2,0,0.533,0.412,0.945,0,0.5,1.0,1,3,5,0.6,1,0.0,2.59,0.067,4.1,0.319
2026,55897,홍대인,SSG,SK,3,0.4,17,12,10,4,4,1,0,0,5,3,0,0,2,0,0,0,0,0.5,0.5,1.0,0,0.0,0.333,1,3,3,1.0,0,,4.17,0.1,2.7,0.35
2026,67893,박성한,SSG,SK,4,0.376,38,174,141,29,53,10,1,3,74,27,0,2,30,0,1,19,2,0.525,0.483,1.008,17,0.472,0.0,14,38,33,1.15,3,1.58,4.24,0.149,35.1,0.349
2026,51868,고명준,SSG,SK,5,0.365,17,68,63,9,23,5,0,4,40,12,0,0,5,0,0,14,0,0.635,0.412,1.047,7,0.294,0.0,9,12,14,0.86,2,0.36,3.28,0.27,14.5,0.344
2026,68868,최준우,SSG,SK,6,0.333,15,34,27,8,9,2,0,0,11,0,0,0,7,0,0,4,0,0.407,0.471,0.878,2,0.143,0.25,2,10,4,2.5,0,1.75,4.82,0.074,5.7,0.314
2026,54812,정준재,SSG,SK,7,0.304,35,123,102,17,31,5,3,1,45,16,3,2,15,0,1,19,2,0.441,0.392,0.833,11,0.481,0.5,9,29,25,1.16,2,0.79,3.88,0.137,18.6,0.287
2026,66864,안상현,SSG,SK,8,0.288,26,65,52,13,15,3,0,1,21,4,3,0,8,0,2,11,3,0.404,0.403,0.807,3,0.308,0.429,4,18,8,2.25,0,0.73,3.71,0.115,8.1,0.282
2026,62864,김민식,SSG,SK,9,0.286,6,7,7,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0.286,0.286,0.572,0,0.0,0.667,0,2,2,1.0,0,0.0,3.71,0.0,0.5,0.2
2026,75847,최정,SSG,SK,10,0.271,37,163,133,22,36,8,1,10,76,24,0,3,24,3,3,38,0,0.571,0.387,0.958,7,0.171,0.0,19,16,46,0.35,4,0.63,4.09,0.301,30.9,0.317
2026,51865,조형우,SSG,SK,11,0.267,27,98,86,12,23,4,0,1,30,9,3,0,6,0,3,14,1,0.349,0.337,0.686,5,0.292,0.0,5,23,26,0.88,1,0.43,3.5,0.081,10.3,0.239
2026,53827,에레디아,SSG,SK,12,0.266,38,167,154,15,41,6,0,5,62,32,0,3,8,0,2,34,3,0.403,0.305,0.708,13,0.34,0.0,11,24,58,0.41,1,0.24,3.6,0.136,18.8,0.238
2026,60558,오태곤,SSG,SK,13,0.265,34,106,98,14,26,6,0,4,44,18,0,1,5,0,2,31,2,0.449,0.311,0.76,5,0.324,0.222,10,21,21,1.0,2,0.16,3.87,0.184,13.4,0.252
2026,62934,김성욱,SSG,SK,14,0.256,27,49,39,8,10,1,0,1,14,6,0,1,8,0,1,13,0,0.359,0.388,0.747,2,0.25,0.0,2,9,8,1.13,0,0.62,4.37,0.103,7.1,0.264
2026,50854,최지훈,SSG,SK,15,0.218,38,162,147,25,32,8,1,5,57,19,1,1,11,0,2,23,3,0.388,0.28,0.668,8,0.205,0.0,14,43,50,0.86,2,0.48,3.98,0.17,17.1,0.223
2026,50868,류효승,SSG,SK,16,0.176,7,18,17,1,3,0,0,1,6,1,0,0,1,0,0,3,0,0.353,0.222,0.575,0,0.0,0.0,1,6,5,1.2,0,0.33,4.06,0.176,1.5,0.188
2026,79456,이지영,SSG,SK,17,0.175,24,46,40,5,7,3,0,0,10,3,0,0,6,0,0,3,1,0.25,0.283,0.533,0,0.222,0.5,3,21,9,2.33,0,2.0,3.83,0.075,3.0,0.19
2026,62895,한유섬,SSG,SK,18,0.162,28,94,74,8,12,1,0,0,13,3,0,1,17,1,2,23,5,0.176,0.33,0.506,2,0.056,0.0,1,20,20,1.0,0,0.74,3.77,0.014,5.5,0.193
2026,78224,김재환,SSG,SK,19,0.147,30,124,102,9,15,1,0,3,25,14,0,1,21,0,0,31,3,0.245,0.29,0.535,3,0.226,0.0,4,31,26,1.19,0,0.68,3.98,0.098,8.9,0.192
2026,53893,김민준,SSG,SK,20,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,,0,0.0,5.0,0.0,-0.2,0.0
2026,53865,김정민,SSG,SK,20,0.0,8,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.25,0.25,0,0.0,0.0,0,1,0,,0,0.5,3.25,0.0,0.2,0.113
2026,69825,김창평,SSG,SK,20,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,73211,노경은,SSG,SK,20,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,50812,박시후,SSG,SK,20,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,52868,이기순,SSG,SK,20,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,52807,임근우,SSG,SK,20,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0,,2.0,0.0,-0.1,0.0
2026,52809,전영준,SSG,SK,20,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,51897,조병현,SSG,SK,20,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
