season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2026,67143,손주영,LG,LG,1,0.0,2,0,0,1,0,,3,3,0,0,0,3,0,0,1.0,0,0,0,0,11,50,0.273,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,3,0.67,0.375,25.0,16.7,9.0,0.0,,0.273,0.273,0.546
2026,61145,이우찬,LG,LG,1,0.0,3,0,0,0,0,,2,3,0,1,0,2,0,0,2.0,0,0,0,0,10,36,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.33,0.429,12.0,18.0,9.0,4.5,2.0,0.4,0.444,0.844
2026,50106,유영찬,LG,LG,3,0.75,13,0,1,11,0,0.0,12,4,0,6,0,12,1,1,0.83,0,0,0,0,45,182,0.103,0,0,0,0,0,0,0,0,0,0,12,12,0,1,8,15,0.53,0.148,14.0,15.2,9.0,4.5,2.0,0.222,0.103,0.325
2026,64596,김유영,LG,LG,4,1.8,5,0,0,0,0,,5,3,0,4,0,8,1,1,1.4,0,0,0,0,21,96,0.176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.0,0.333,19.2,19.2,14.4,7.2,2.0,0.333,0.235,0.568
2026,55348,웰스,LG,LG,5,2.06,7,2,2,0,0,0.5,39 1/3,28,1,10,0,28,11,9,0.97,0,0,4,0,155,601,0.194,8,2,1,0,0,0,0,7,2,0,0,0,0,1,41,47,0.87,0.235,85.9,15.3,6.41,2.29,2.8,0.247,0.299,0.546
2026,50157,김윤식,LG,LG,6,2.7,3,0,0,0,0,,3 1/3,2,0,2,0,3,1,1,1.2,0,0,0,0,14,62,0.167,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,1.33,0.222,20.7,18.6,8.1,5.4,1.5,0.286,0.25,0.536
2026,50904,이종준,LG,LG,7,3.0,2,0,0,0,0,,3,1,0,0,1,3,1,1,0.33,0,0,0,0,11,50,0.1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0.5,0.143,25.0,16.7,9.0,0.0,,0.182,0.2,0.382
2026,51111,송승기,LG,LG,8,3.15,7,2,0,0,0,1.0,34 1/3,34,3,11,0,31,14,12,1.31,0,0,1,0,148,619,0.254,4,1,1,2,0,4,0,7,2,0,0,0,0,2,29,42,0.69,0.304,88.4,18.0,8.13,2.88,2.82,0.306,0.366,0.672
2026,55167,김영우,LG,LG,9,3.29,16,1,0,0,2,1.0,13 2/3,12,1,7,0,12,5,5,1.39,0,0,0,1,60,230,0.235,3,1,1,1,1,0,0,0,0,1,3,5,0,0,8,20,0.4,0.282,14.4,16.8,7.9,4.61,1.71,0.322,0.392,0.714
2026,51154,김진수,LG,LG,10,3.46,9,2,1,1,0,0.667,13,10,2,3,0,10,5,5,1.0,0,0,0,0,52,195,0.213,2,0,0,2,0,1,0,0,0,2,4,1,0,1,15,14,1.07,0.216,21.7,15.0,6.92,2.08,3.33,0.25,0.383,0.633
