season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2026,삼성,team_pitcher,1,0.251,3.97,38,,,161,318,56,4,33,,,19,14,152,3,21,257,,,,,,,,22,15,10,19,0.595,338,149,1.39,0,1,19,6,1474,5718,14,0,,,,,,,,,,,,,
2026,LG,team_pitcher,2,0.265,3.98,38,,,165,351,59,5,26,,,11,13,126,2,19,270,,,,,,,,23,15,16,27,0.605,341 1/3,151,1.4,0,3,12,8,1495,5878,17,1,,,,,,,,,,,,,
2026,KT,team_pitcher,3,0.264,4.0,38,,,165,352,59,5,28,,,11,11,115,7,20,319,,,,,,,,24,13,10,19,0.649,344 1/3,153,1.36,0,3,17,8,1488,5673,14,0,,,,,,,,,,,,,
2026,두산,team_pitcher,4,0.265,4.14,39,,,182,357,67,4,24,,,18,16,162,3,21,322,,,,,,,,18,20,7,14,0.474,346,159,1.5,0,2,16,4,1563,6027,25,2,,,,,,,,,,,,,
2026,롯데,team_pitcher,5,0.256,4.36,37,,,177,322,67,2,29,,,25,7,162,5,15,307,,,,,,,,15,21,8,11,0.417,330 1/3,160,1.47,0,1,17,3,1466,5759,32,1,,,,,,,,,,,,,
2026,KIA,team_pitcher,6,0.257,4.6,39,,,188,341,58,5,41,,,17,7,147,5,21,277,,,,,,,,18,20,6,23,0.474,346,177,1.41,1,3,10,5,1521,5998,19,2,,,,,,,,,,,,,
2026,NC,team_pitcher,7,0.239,4.81,38,,,191,298,50,8,42,,,17,15,175,5,28,278,,,,,,,,16,21,5,22,0.432,334 2/3,179,1.41,0,2,5,5,1480,5881,21,0,,,,,,,,,,,,,
2026,SSG,team_pitcher,8,0.258,4.9,38,,,204,337,58,1,31,,,12,16,179,9,29,285,,,,,,,,20,17,7,15,0.541,339 2/3,185,1.52,0,2,5,5,1542,6111,19,2,,,,,,,,,,,,,
2026,키움,team_pitcher,9,0.293,5.13,39,,,210,404,77,8,33,,,16,18,158,1,20,269,,,,,,,,14,24,12,25,0.368,343 2/3,196,1.64,0,3,7,7,1589,6165,22,1,,,,,,,,,,,,,
2026,한화,team_pitcher,10,0.277,5.21,38,,,229,366,59,7,30,,,19,16,193,1,32,291,,,,,,,,17,21,4,21,0.447,340,197,1.64,0,1,9,5,1580,6137,19,0,,,,,,,,,,,,,
