season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2025,62415,박해민,LG,LG,1,중견수,144,136,1179,1,0,310,6,2,0.997,0,0,0,
2025,79365,박동원,LG,LG,2,포수,130,102,938 1/3,8,2,784,78,11,0.991,2,67,18,21.2
2025,65207,신민재,LG,LG,2,2루수,130,113,992 2/3,12,0,245,320,87,0.979,0,0,0,
2025,79109,오지환,LG,LG,4,유격수,123,107,939 1/3,9,0,148,295,67,0.98,0,0,0,
2025,53123,오스틴,LG,LG,5,1루수,96,94,793,8,0,723,61,66,0.99,0,0,0,
2025,69102,문보경,LG,LG,6,3루수,95,91,753 2/3,14,0,48,153,13,0.935,0,0,0,
2025,68119,문성주,LG,LG,7,우익수,80,76,644 1/3,1,0,144,4,0,0.993,0,0,0,
2025,75867,김진성,LG,LG,8,투수,78,0,70 2/3,0,2,2,9,0,1.0,0,0,0,
2025,76290,김현수,LG,LG,9,좌익수,76,74,560 2/3,2,0,115,3,0,0.983,0,0,0,
2025,52154,이주헌,LG,LG,10,포수,69,42,332,4,0,295,16,2,0.987,5,28,3,9.7
2025,69100,구본혁,LG,LG,11,3루수,68,33,328 2/3,2,0,21,72,9,0.979,0,0,0,
2025,55167,김영우,LG,LG,12,투수,66,0,60,0,0,4,11,2,1.0,0,0,0,
2025,52103,최원영,LG,LG,13,좌익수,60,8,169 1/3,1,0,41,0,0,0.976,0,0,0,
2025,63950,장현식,LG,LG,15,투수,56,0,49 2/3,1,0,2,3,0,0.833,0,0,0,
2025,53139,박명근,LG,LG,16,투수,44,0,38 2/3,0,0,4,7,1,1.0,0,0,0,
2025,69108,이지강,LG,LG,17,투수,43,1,47 1/3,0,0,4,4,1,1.0,0,0,0,
2025,66108,홍창기,LG,LG,18,우익수,42,40,329 2/3,0,0,58,2,0,1.0,0,0,0,
2025,50106,유영찬,LG,LG,19,투수,39,0,41,0,0,1,0,0,1.0,0,0,0,
2025,69134,이정용,LG,LG,19,투수,39,0,34,0,0,0,2,0,1.0,0,0,0,
2025,65109,백승현,LG,LG,24,투수,33,0,30,1,1,3,8,0,0.917,0,0,0,
2025,63248,함덕주,LG,LG,26,투수,31,0,27,0,0,1,2,0,1.0,0,0,0,
2025,67143,손주영,LG,LG,27,투수,30,27,153,2,3,5,19,1,0.923,0,0,0,
2025,55146,치리노스,LG,LG,27,투수,30,30,177,2,1,10,33,1,0.956,0,0,0,
2025,51111,송승기,LG,LG,29,투수,28,27,144,2,0,8,12,0,0.909,0,0,0,
2025,61101,임찬규,LG,LG,30,투수,27,27,160 1/3,5,1,6,21,4,0.844,0,0,0,
2025,50054,천성호,LG,LG,30,2루수,27,18,158 1/3,2,0,36,66,14,0.981,0,0,0,
2025,68110,송찬의,LG,LG,33,우익수,25,17,153,0,0,29,0,0,1.0,0,0,0,
