season_year,player_id,player_name,team_name,team_code,rank_no,g,sba,sb,cs,sb_rate,oob,pko
2025,62415,박해민,LG,LG,1,144,63,49,14,77.8,5,0
2025,65207,신민재,LG,LG,2,135,24,15,9,62.5,4,1
2025,69100,구본혁,LG,LG,3,131,15,10,5,66.7,2,1
2025,79109,오지환,LG,LG,4,127,16,9,7,56.3,7,0
2025,52103,최원영,LG,LG,5,119,12,8,4,66.7,1,2
2025,76290,김현수,LG,LG,6,140,4,4,0,100.0,4,0
2025,68119,문성주,LG,LG,6,135,7,4,3,57.1,8,0
2025,79365,박동원,LG,LG,6,139,4,4,0,100.0,7,0
2025,69102,문보경,LG,LG,9,141,4,3,1,75.0,3,0
2025,53123,오스틴,LG,LG,9,116,3,3,0,100.0,2,0
2025,50054,천성호,LG,LG,9,83,4,3,1,75.0,2,2
2025,66108,홍창기,LG,LG,9,51,3,3,0,100.0,1,0
2025,68110,송찬의,LG,LG,13,66,4,2,2,50.0,0,1
2025,67504,김정율,LG,LG,14,13,1,1,0,100.0,0,0
2025,54156,손용준,LG,LG,14,9,1,1,0,100.0,0,0
2025,51100,이영빈,LG,LG,14,44,1,1,0,100.0,0,1
2025,65905,최승민,LG,LG,14,19,3,1,2,33.3,0,0
2025,52105,김성우,LG,LG,18,7,0,0,0,,0,0
2025,55167,김영우,LG,LG,18,4,0,0,0,,0,0
2025,66162,김주성,LG,LG,18,16,2,0,2,0.0,0,0
2025,62558,김준태,LG,LG,18,2,0,0,0,,0,0
2025,75867,김진성,LG,LG,18,5,0,0,0,,0,0
2025,51154,김진수,LG,LG,18,1,0,0,0,,0,0
2025,54166,김현종,LG,LG,18,10,0,0,0,,0,0
2025,52121,문정빈,LG,LG,18,21,0,0,0,,0,0
2025,55164,박관우,LG,LG,18,39,0,0,0,,0,0
2025,53139,박명근,LG,LG,18,5,0,0,0,,0,0
2025,65109,백승현,LG,LG,18,3,0,0,0,,0,0
2025,51526,우강훈,LG,LG,18,2,0,0,0,,0,0
2025,50106,유영찬,LG,LG,18,11,0,0,0,,0,0
2025,61145,이우찬,LG,LG,18,1,0,0,0,,0,0
