season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2025,한화,team_defense,1,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,4,3871,1325,100,0.984,11,96,39,28.9,,,
2025,SSG,team_defense,2,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,10,3850,1398,139,0.98,4,110,46,29.5,,,
2025,두산,team_defense,3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,12,3840,1363,123,0.977,12,103,43,29.5,,,
2025,롯데,team_defense,3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,5,3840,1380,117,0.979,13,104,23,18.1,,,
2025,LG,team_defense,5,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,10,3838,1438,137,0.983,7,95,23,19.5,,,
2025,KT,team_defense,6,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,5,3835,1458,105,0.981,6,128,32,20.0,,,
2025,KIA,team_defense,7,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,10,3824,1422,127,0.977,8,111,41,27.0,,,
2025,NC,team_defense,8,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,5,3810,1381,119,0.978,7,80,36,31.0,,,
2025,키움,team_defense,9,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,4,3807,1317,111,0.977,13,107,53,33.1,,,
2025,삼성,team_defense,10,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,8,3806,1389,122,0.984,12,107,26,19.5,,,
2026,KIA,team_defense,1,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,1038,357,32,0.984,3,33,10,23.3,,,
2026,두산,team_defense,1,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,1038,357,30,0.982,1,25,3,10.7,,,
2026,KT,team_defense,3,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,1033,387,38,0.985,0,30,7,18.9,,,
2026,키움,team_defense,4,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,1031,374,35,0.976,1,22,8,26.7,,,
2026,LG,team_defense,5,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3,1024,366,28,0.978,0,31,14,31.1,,,
2026,한화,team_defense,6,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,1020,354,42,0.976,4,16,7,30.4,,,
2026,SSG,team_defense,7,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,1019,370,36,0.98,4,25,8,24.2,,,
2026,삼성,team_defense,8,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,1014,396,33,0.988,4,30,9,23.1,,,
2026,NC,team_defense,9,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,1004,354,29,0.984,2,23,8,25.8,,,
2026,롯데,team_defense,10,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,991,362,26,0.984,3,25,10,28.6,,,
