season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2025,한화,team_pitcher,1,0.244,3.55,144,,,554,1185,215,27,102,,,43,40,450,14,93,1339,,,,,,,,83,57,41,57,0.593,1290 1/3,509,1.27,1,13,68,16,5478,21746,60,9,,,,,,,,,,,,,
2025,SSG,team_pitcher,2,0.244,3.63,144,,,576,1164,173,9,115,,,62,38,510,23,78,1193,,,,,,,,75,65,36,102,0.536,1283 1/3,517,1.3,1,9,45,14,5463,21584,56,1,,,,,,,,,,,,,
2025,LG,team_pitcher,3,0.254,3.79,144,,,584,1236,227,19,91,,,50,38,491,12,62,1080,,,,,,,,85,56,42,77,0.603,1279 1/3,539,1.35,1,11,69,15,5508,21562,44,2,,,,,,,,,,,,,
2025,KT,team_pitcher,4,0.273,4.09,144,,,657,1362,221,21,112,,,60,39,433,25,58,1067,,,,,,,,71,68,37,60,0.511,1278 1/3,581,1.4,1,10,74,13,5584,21031,61,6,,,,,,,,,,,,,
2025,삼성,team_pitcher,5,0.259,4.12,144,,,647,1257,211,17,132,,,73,43,455,16,70,1048,,,,,,,,74,68,25,76,0.521,1268 2/3,581,1.35,3,10,59,19,5491,21229,45,1,,,,,,,,,,,,,
2025,두산,team_pitcher,6,0.253,4.3,144,,,686,1227,223,23,109,,,72,47,542,23,99,1054,,,,,,,,61,77,29,69,0.442,1280,612,1.38,0,7,52,29,5605,22028,72,1,,,,,,,,,,,,,
2025,KIA,team_pitcher,7,0.268,4.66,144,,,734,1316,244,21,110,,,59,55,511,19,84,1058,,,,,,,,65,75,30,82,0.464,1274 2/3,660,1.43,1,6,58,21,5616,21595,53,2,,,,,,,,,,,,,
2025,롯데,team_pitcher,8,0.27,4.75,144,,,749,1351,265,22,128,,,54,50,560,11,73,1173,,,,,,,,66,72,36,69,0.478,1280,676,1.49,0,7,52,20,5747,22224,69,5,,,,,,,,,,,,,
2025,NC,team_pitcher,9,0.262,4.82,144,,,766,1279,206,20,146,,,59,47,621,31,97,1075,,,,,,,,71,67,39,103,0.514,1270,680,1.5,1,10,38,18,5704,22650,95,4,,,,,,,,,,,,,
2025,키움,team_pitcher,10,0.287,5.39,144,,,860,1447,258,29,146,,,62,54,550,13,92,937,,,,,,,,47,93,31,55,0.336,1269,760,1.57,0,6,47,20,5800,22200,66,4,,,,,,,,,,,,,
2026,삼성,team_pitcher,1,0.251,3.97,38,,,161,318,56,4,33,,,19,14,152,3,21,257,,,,,,,,22,15,10,19,0.595,338,149,1.39,0,1,19,6,1474,5718,14,0,,,,,,,,,,,,,
2026,LG,team_pitcher,2,0.265,3.98,38,,,165,351,59,5,26,,,11,13,126,2,19,270,,,,,,,,23,15,16,27,0.605,341 1/3,151,1.4,0,3,12,8,1495,5878,17,1,,,,,,,,,,,,,
2026,KT,team_pitcher,3,0.264,4.0,38,,,165,352,59,5,28,,,11,11,115,7,20,319,,,,,,,,24,13,10,19,0.649,344 1/3,153,1.36,0,3,17,8,1488,5673,14,0,,,,,,,,,,,,,
2026,두산,team_pitcher,4,0.265,4.14,39,,,182,357,67,4,24,,,18,16,162,3,21,322,,,,,,,,18,20,7,14,0.474,346,159,1.5,0,2,16,4,1563,6027,25,2,,,,,,,,,,,,,
2026,롯데,team_pitcher,5,0.256,4.36,37,,,177,322,67,2,29,,,25,7,162,5,15,307,,,,,,,,15,21,8,11,0.417,330 1/3,160,1.47,0,1,17,3,1466,5759,32,1,,,,,,,,,,,,,
2026,KIA,team_pitcher,6,0.257,4.6,39,,,188,341,58,5,41,,,17,7,147,5,21,277,,,,,,,,18,20,6,23,0.474,346,177,1.41,1,3,10,5,1521,5998,19,2,,,,,,,,,,,,,
2026,NC,team_pitcher,7,0.239,4.81,38,,,191,298,50,8,42,,,17,15,175,5,28,278,,,,,,,,16,21,5,22,0.432,334 2/3,179,1.41,0,2,5,5,1480,5881,21,0,,,,,,,,,,,,,
2026,SSG,team_pitcher,8,0.258,4.9,38,,,204,337,58,1,31,,,12,16,179,9,29,285,,,,,,,,20,17,7,15,0.541,339 2/3,185,1.52,0,2,5,5,1542,6111,19,2,,,,,,,,,,,,,
2026,키움,team_pitcher,9,0.293,5.13,39,,,210,404,77,8,33,,,16,18,158,1,20,269,,,,,,,,14,24,12,25,0.368,343 2/3,196,1.64,0,3,7,7,1589,6165,22,1,,,,,,,,,,,,,
2026,한화,team_pitcher,10,0.277,5.21,38,,,229,366,59,7,30,,,19,16,193,1,32,291,,,,,,,,17,21,4,21,0.447,340,197,1.64,0,1,9,5,1580,6137,19,0,,,,,,,,,,,,,
