season_year,team_name,rank_no,games,wins,losses,draws,win_rate,game_gap,last10,streak,home,away,series
2025,KT,1,38,24,13,1,0.649,0,5승1무4패,1승,12-0-7,12-1-6,
2025,LG,2,38,23,15,0,0.605,1.5,5승0무5패,1승,14-0-8,9-0-7,
2025,삼성,3,38,22,15,1,0.595,2,8승0무2패,1패,11-1-7,11-0-8,
2025,SSG,4,38,20,17,1,0.541,4,3승1무6패,1패,9-1-9,11-0-8,
2025,KIA,5,39,18,20,1,0.474,6.5,5승0무5패,1승,10-1-8,8-0-12,
2025,두산,5,39,18,20,1,0.474,6.5,5승0무5패,1패,9-0-8,9-1-12,
2025,한화,7,38,17,21,0,0.447,7.5,6승0무4패,1패,6-0-14,11-0-7,
2025,NC,8,38,16,21,1,0.432,8,3승1무6패,1패,8-0-10,8-1-11,
2025,롯데,9,37,15,21,1,0.417,8.5,6승0무4패,1승,6-0-12,9-1-9,
2025,키움,10,39,14,24,1,0.368,10.5,3승1무6패,1승,10-1-9,4-0-15,
2026,KT,1,38,24,13,1,0.649,0,5승1무4패,1승,12-0-7,12-1-6,
2026,LG,2,38,23,15,0,0.605,1.5,5승0무5패,1승,14-0-8,9-0-7,
2026,삼성,3,38,22,15,1,0.595,2,8승0무2패,1패,11-1-7,11-0-8,
2026,SSG,4,38,20,17,1,0.541,4,3승1무6패,1패,9-1-9,11-0-8,
2026,KIA,5,39,18,20,1,0.474,6.5,5승0무5패,1승,10-1-8,8-0-12,
2026,두산,5,39,18,20,1,0.474,6.5,5승0무5패,1패,9-0-8,9-1-12,
2026,한화,7,38,17,21,0,0.447,7.5,6승0무4패,1패,6-0-14,11-0-7,
2026,NC,8,38,16,21,1,0.432,8,3승1무6패,1패,8-0-10,8-1-11,
2026,롯데,9,37,15,21,1,0.417,8.5,6승0무4패,1승,6-0-12,9-1-9,
2026,키움,10,39,14,24,1,0.368,10.5,3승1무6패,1승,10-1-9,4-0-15,
