season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2025,NC,team_runner,1,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,186,64,,250,74.4,45
2025,두산,team_runner,2,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,144,43,,187,77.0,58
2025,SSG,team_runner,3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,129,47,,176,73.3,40
2025,LG,team_runner,4,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,121,49,,170,71.2,49
2025,한화,team_runner,5,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,101,38,,139,72.7,50
2025,삼성,team_runner,6,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,98,32,,130,75.4,53
2025,롯데,team_runner,7,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,91,28,,119,76.5,51
2025,키움,team_runner,8,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,83,15,,98,84.7,38
2025,KIA,team_runner,9,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,77,22,,99,77.8,44
2025,KT,team_runner,10,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,48,24,,72,66.7,40
2026,NC,team_runner,1,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,51,14,,65,78.5,18
2026,두산,team_runner,2,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,38,7,,45,84.4,5
2026,SSG,team_runner,3,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,32,8,,40,80.0,6
2026,LG,team_runner,4,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,30,11,,41,73.2,20
2026,롯데,team_runner,5,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,27,6,,33,81.8,17
2026,삼성,team_runner,6,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,23,7,,30,76.7,10
2026,KT,team_runner,7,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,20,15,,35,57.1,8
2026,한화,team_runner,8,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,18,11,,29,62.1,10
2026,KIA,team_runner,8,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,18,4,,22,81.8,6
2026,키움,team_runner,10,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,11,1,,12,91.7,8
