season_year,player_name,team_name,babip,bb_rate,k_rate,bb_k,iso,ab_per_hr,rc,rc27,wrc,spd,wsb,woba,wraa,war
2021,홍창기,LG,0.393,16.7,14.6,1.15,0.08,131.0,112.46,8.25,123.73,5.65,0.79,0.412,43.67,7.1
2021,이정후,키움,0.373,11.4,6.8,1.68,0.162,66.29,112.79,9.61,112.3,5.8,0.54,0.429,45.41,7.06
2021,강백호,KT,0.385,16.6,13.5,1.22,0.174,32.25,130.8,9.89,132.25,3.95,-0.4,0.434,55.02,6.97
2021,최정,SSG,0.277,15.1,18.4,0.82,0.284,12.46,108.03,8.5,112.36,4.11,-1.24,0.425,44.11,6.83
2021,양의지,NC,0.315,12.1,10.5,1.15,0.256,16.0,119.17,9.27,118.95,3.19,-0.13,0.432,48.85,6.48
2021,알테어,NC,0.331,10.1,27.6,0.36,0.242,15.38,95.74,6.93,92.94,5.77,1.62,0.384,23.46,4.89
2021,전준우,롯데,0.384,8.6,11.5,0.75,0.121,78.86,108.12,7.64,108.56,3.86,-0.27,0.395,32.44,4.86
2021,구자욱,삼성,0.331,7.9,16.1,0.49,0.213,24.68,107.26,7.19,99.62,8.37,3.48,0.382,24.6,4.48
2021,정은원,한화,0.346,17.3,17.3,1.0,0.101,82.5,85.95,6.08,95.97,5.58,-1.37,0.376,21.2,4.41
2021,추신수,SSG,0.315,17.8,21.2,0.84,0.186,21.95,95.69,7.18,101.83,5.33,0.76,0.396,30.5,4.3
2021,김재환,두산,0.316,14.3,22.4,0.64,0.227,17.59,94.97,7.08,97.84,3.45,-1.05,0.393,28.24,4.26
2021,박건우,두산,0.37,9.5,13.7,0.69,0.116,76.33,84.15,6.86,86.61,5.05,2.52,0.384,22.04,4.24
2021,최재훈,한화,0.317,15.4,14.6,1.06,0.112,53.57,62.42,5.66,73.45,1.94,-0.39,0.376,16.02,4.15
2021,한유섬,SSG,0.287,11.6,18.5,0.62,0.256,14.26,90.29,7.23,91.15,2.71,0.14,0.396,27.33,4.14
2021,강민호,삼성,0.292,9.7,11.5,0.85,0.187,22.56,67.66,5.84,70.44,1.02,-0.05,0.37,13.63,4.09
2021,김혜성,키움,0.356,10.2,15.3,0.67,0.063,186.33,88.8,5.83,81.01,7.0,7.25,0.343,2.92,4.0
2021,노시환,한화,0.328,15.9,23.4,0.68,0.195,21.11,69.49,6.3,73.8,2.37,0.02,0.38,17.48,3.56
2021,안치홍,롯데,0.33,10.6,12.0,0.88,0.152,42.1,74.17,6.22,77.19,3.2,-2.23,0.376,16.93,3.51
2021,한동희,롯데,0.304,12.3,19.1,0.64,0.176,24.94,66.31,5.3,73.8,0.38,-0.52,0.366,12.81,3.32
2021,김선빈,KIA,0.323,9.9,6.9,1.44,0.094,100.2,74.58,5.41,79.08,1.39,-0.07,0.357,9.72,3.29
2021,나성범,NC,0.329,6.1,24.9,0.24,0.228,17.27,98.87,6.34,93.67,3.92,-0.78,0.368,17.06,3.19
2021,박성한,SSG,0.358,10.4,15.5,0.67,0.086,101.75,65.51,5.82,65.93,5.22,0.03,0.357,8.01,3.18
2021,피렐라,삼성,0.295,9.2,14.3,0.64,0.209,19.07,99.87,6.54,99.16,4.94,-1.04,0.378,22.8,3.16
2021,박해민,삼성,0.34,12.7,15.1,0.84,0.086,90.8,74.49,5.65,75.4,6.19,0.2,0.356,8.74,3.11
2021,손아섭,롯데,0.359,10.0,11.0,0.91,0.078,180.67,84.55,5.79,90.07,4.31,-0.66,0.365,15.05,3.05
2021,페르난데스,두산,0.313,10.5,5.7,1.86,0.128,36.0,90.31,6.05,99.0,1.05,-1.01,0.379,23.13,3.03
2021,정훈,롯데,0.332,12.1,15.9,0.76,0.146,34.71,86.63,6.59,84.91,4.67,1.07,0.369,15.92,2.87
2021,박동원,키움,0.289,11.0,23.7,0.47,0.211,18.77,66.25,5.42,68.78,2.49,0.35,0.36,9.63,2.84
2021,이용규,키움,0.324,13.0,8.6,1.51,0.077,459.0,77.27,6.1,78.09,7.74,2.39,0.36,10.82,2.82
2021,노진혁,NC,0.37,10.9,23.4,0.47,0.139,41.25,56.68,6.22,57.52,3.07,-0.31,0.367,10.3,2.82
2021,김현수,LG,0.279,12.9,7.1,1.83,0.15,29.76,89.97,6.43,89.01,3.82,0.52,0.367,15.84,2.78
2021,오재일,삼성,0.319,12.0,21.9,0.55,0.227,16.72,82.45,7.14,78.15,3.01,0.15,0.38,18.62,2.77
2021,하주석,한화,0.347,8.6,22.7,0.38,0.12,52.5,75.75,5.05,73.77,6.17,1.75,0.339,0.73,2.67
2021,최원준,KIA,0.327,9.1,10.2,0.9,0.073,147.25,88.54,5.42,87.49,6.62,2.36,0.347,5.34,2.56
2021,배정대,KT,0.323,10.9,22.2,0.49,0.119,42.5,73.71,4.95,74.19,5.3,0.49,0.34,1.02,2.55
2021,황재균,KT,0.344,9.1,18.1,0.5,0.111,45.3,66.56,5.27,66.87,4.81,0.29,0.348,4.52,2.53
2021,마차도,롯데,0.31,10.8,12.1,0.89,0.082,93.2,64.71,4.85,65.58,4.72,-0.32,0.337,-0.7,2.49
2021,최주환,SSG,0.281,11.3,17.9,0.63,0.173,22.56,64.34,5.57,64.55,2.89,-0.12,0.354,6.75,2.17
2021,양석환,두산,0.317,7.7,24.9,0.31,0.217,17.43,80.42,5.79,79.17,2.49,-1.04,0.362,12.02,2.06
2021,채은성,LG,0.305,8.5,17.9,0.47,0.176,24.19,65.24,5.91,65.72,3.58,-0.18,0.364,10.62,2.04
2021,박계범,두산,0.321,11.4,17.7,0.65,0.09,64.4,45.4,4.77,49.54,3.58,-0.64,0.344,2.19,1.88
2021,장성우,KT,0.246,13.0,15.0,0.87,0.143,27.5,48.6,4.03,52.72,1.27,-0.77,0.329,-3.85,1.87
