season_year,player_name,team_name,hr9,lob_rate,fip,kfip,fip_war,ra9_war,k_rate,bb_rate,avg_against,obp_against,slg_against,ops_against
2021,미란다,두산,0.57,81.7,2.67,2.14,8.49,8.46,31.7,8.9,0.212,0.282,0.299,0.581
2021,루친스키,NC,0.6,71.6,3.32,3.05,6.37,6.61,23.5,7.3,0.234,0.3,0.321,0.621
2021,뷰캐넌,삼성,0.66,75.5,3.46,3.24,5.74,6.27,21.4,7.8,0.25,0.31,0.355,0.664
2021,고영표,KT,0.49,73.5,3.2,3.04,5.51,6.63,19.6,4.1,0.238,0.284,0.321,0.605
2021,폰트,SSG,0.74,66.8,3.28,2.93,5.43,4.03,26.0,7.5,0.211,0.277,0.322,0.598
2021,데스파이네,KT,0.48,72.8,3.62,3.51,5.24,6.11,20.1,9.5,0.243,0.322,0.335,0.657
2021,요키시,키움,0.6,73.5,3.54,3.45,5.12,6.59,17.7,6.2,0.252,0.302,0.341,0.643
2021,수아레즈,LG,0.31,79.0,2.77,2.42,4.82,5.38,26.6,8.7,0.215,0.289,0.291,0.58
2021,킹험,한화,0.69,71.1,3.43,3.2,4.79,4.96,22.3,6.9,0.219,0.278,0.321,0.6
2021,스트레일리,롯데,0.65,68.9,3.62,3.41,4.78,4.26,23.1,9.4,0.259,0.333,0.363,0.696
2021,원태인,삼성,0.62,76.8,3.65,3.53,4.63,6.0,19.7,7.8,0.249,0.313,0.362,0.675
2021,쿠에바스,KT,0.74,69.0,3.57,3.3,4.49,3.4,23.6,8.8,0.254,0.323,0.37,0.693
2021,카펜터,한화,0.85,69.1,4.06,3.86,4.44,4.29,24.0,9.8,0.234,0.326,0.35,0.677
2021,켈리,LG,0.61,78.0,3.76,3.68,4.43,6.83,19.1,8.1,0.241,0.312,0.333,0.645
2021,로켓,두산,0.36,79.3,3.33,3.18,4.16,4.99,20.7,7.8,0.277,0.348,0.358,0.706
2021,파슨스,NC,0.61,74.5,3.66,3.41,4.14,4.29,25.6,10.9,0.218,0.317,0.311,0.629
2021,임기영,KIA,0.88,66.3,4.02,3.9,3.79,3.06,19.5,6.8,0.262,0.322,0.39,0.712
2021,배제성,KT,0.38,70.8,3.7,3.58,3.67,3.81,21.9,13.2,0.239,0.339,0.328,0.667
2021,최원준,두산,0.85,76.3,4.01,3.95,3.52,5.51,16.8,5.5,0.26,0.31,0.396,0.706
2021,백정현,삼성,0.86,81.4,4.21,4.2,3.17,6.54,16.8,8.3,0.244,0.308,0.367,0.675
