season_year,team_name,expected_win_rate,r_per_game,babip,bb_rate,k_rate,bb_k,iso,ab_per_hr,rc,rc27,wrc,spd,wsb,woba,wraa,war
2021,삼성,0.536,4.94,0.3,9.8,16.2,0.6,0.132,36.36,695.88,4.94,684.61,5.06,2.02,0.338,1.85,18.69
2021,KT,0.594,4.99,0.316,11.5,18.6,0.62,0.116,45.38,693.32,4.93,710.3,4.71,0.46,0.342,18.31,20.57
2021,LG,0.569,4.54,0.287,10.7,16.7,0.64,0.118,43.18,636.93,4.53,640.32,4.69,2.04,0.33,-40.1,14.06
2021,두산,0.553,5.12,0.309,9.9,16.7,0.59,0.122,44.55,689.1,4.82,709.53,4.47,-1.56,0.341,15.33,20.08
2021,키움,0.514,5.01,0.309,10.5,18.7,0.56,0.117,53.56,685.17,4.84,679.71,5.64,6.7,0.335,-15.47,17.68
2021,SSG,0.509,5.24,0.295,11.1,18.4,0.6,0.16,26.48,765.22,5.33,781.08,4.67,-0.54,0.352,75.69,27.05
2021,NC,0.503,4.88,0.302,9.3,19.8,0.47,0.155,28.28,711.92,5.07,714.67,4.92,-1.87,0.345,34.36,21.72
2021,롯데,0.452,5.05,0.323,10.1,16.9,0.6,0.121,46.81,736.38,5.17,748.97,4.2,-2.54,0.347,44.81,23.46
2021,KIA,0.375,3.94,0.292,10.7,16.5,0.65,0.087,73.2,576.85,4.04,579.56,4.41,0.07,0.317,-106.28,6.84
2021,한화,0.406,4.16,0.306,11.5,23.4,0.49,0.104,58.56,570.25,4.01,575.06,4.49,-4.69,0.318,-100.69,6.65
