season_year,team_name,expected_win_rate,ra_per_game,hr9,lob_rate,fip,kfip,fip_war,ra9_war,k_rate,bb_rate,avg_against,obp_against,slg_against,ops_against
2021,KT,0.594,4.06,0.61,70.8,3.75,3.65,27.36,33.49,19.7,9.1,0.246,0.319,0.345,0.664
2021,삼성,0.536,4.57,0.94,72.0,4.39,4.34,20.13,29.41,18.8,9.6,0.266,0.342,0.403,0.745
2021,LG,0.569,3.9,0.57,72.9,3.95,3.89,21.9,35.08,19.6,10.0,0.238,0.327,0.339,0.666
2021,두산,0.553,4.56,0.74,71.7,4.27,4.25,19.15,30.5,18.6,10.4,0.267,0.351,0.384,0.735
2021,키움,0.514,4.86,0.72,68.7,4.42,4.48,15.82,24.36,16.1,10.1,0.264,0.348,0.376,0.723
2021,SSG,0.509,5.15,1.05,70.3,4.86,4.89,11.16,18.96,17.7,11.0,0.265,0.354,0.406,0.76
2021,NC,0.503,4.84,0.9,70.4,4.51,4.49,16.94,23.49,18.8,10.5,0.26,0.347,0.39,0.737
2021,롯데,0.452,5.61,0.94,67.1,4.75,4.77,14.04,17.61,18.3,11.4,0.271,0.364,0.41,0.774
2021,KIA,0.375,5.22,0.95,69.1,4.91,5.0,9.34,17.65,16.7,10.9,0.265,0.357,0.398,0.755
2021,한화,0.406,5.13,0.82,68.3,4.7,4.76,13.71,21.05,17.8,11.9,0.252,0.352,0.379,0.731
