season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2026,62415,박해민,LG,LG,1,중견수,60,55,467 1/3,0,0,151,4,2,1.0,0,0,0,
2026,65207,신민재,LG,LG,2,2루수,58,51,465,2,0,105,147,32,0.992,0,0,0,
2026,79109,오지환,LG,LG,3,유격수,55,50,417,9,0,64,121,26,0.954,0,0,0,
2026,79365,박동원,LG,LG,4,포수,54,47,399 2/3,3,2,335,27,0,0.992,1,39,12,23.5
2026,66108,홍창기,LG,LG,5,우익수,52,49,418 1/3,1,0,106,3,1,0.991,0,0,0,
2026,53123,오스틴,LG,LG,6,1루수,43,41,352 1/3,3,0,297,28,29,0.991,0,0,0,
2026,69100,구본혁,LG,LG,7,3루수,41,20,215 2/3,2,0,11,33,2,0.957,0,0,0,
2026,50054,천성호,LG,LG,8,3루수,34,28,228,8,0,20,32,2,0.867,0,0,0,
2026,75867,김진성,LG,LG,9,투수,30,0,28,1,0,0,3,0,0.75,0,0,0,
2026,51526,우강훈,LG,LG,9,투수,30,0,26,0,0,3,3,0,1.0,0,0,0,
2026,52154,이주헌,LG,LG,9,포수,30,13,125 2/3,2,0,92,5,1,0.98,0,6,2,25.0
2026,68110,송찬의,LG,LG,12,좌익수,29,28,220 2/3,1,0,52,2,0,0.982,0,0,0,
2026,68119,문성주,LG,LG,13,좌익수,27,23,201 2/3,1,0,57,1,0,0.983,0,0,0,
2026,63248,함덕주,LG,LG,15,투수,24,0,19 2/3,0,0,1,3,0,1.0,0,0,0,
2026,55167,김영우,LG,LG,16,투수,23,0,20 1/3,0,0,0,1,0,1.0,0,0,0,
2026,63950,장현식,LG,LG,16,투수,23,0,24 2/3,0,0,2,2,0,1.0,0,0,0,
2026,51154,김진수,LG,LG,18,투수,20,0,24 1/3,0,0,1,3,0,1.0,0,0,0,
2026,51100,이영빈,LG,LG,19,3루수,18,10,73 2/3,2,0,10,20,2,0.938,0,0,0,
2026,63145,배재준,LG,LG,20,투수,15,0,14 1/3,0,0,0,2,1,1.0,0,0,0,
2026,69134,이정용,LG,LG,20,투수,15,6,33 2/3,0,0,1,2,0,1.0,0,0,0,
2026,50106,유영찬,LG,LG,22,투수,13,0,12,0,0,1,0,0,1.0,0,0,0,
2026,67143,손주영,LG,LG,23,투수,12,0,13 1/3,0,0,0,3,0,1.0,0,0,0,
2026,61101,임찬규,LG,LG,23,투수,12,12,65 1/3,0,1,5,10,0,1.0,0,0,0,
2026,55130,톨허스트,LG,LG,23,투수,12,12,64 1/3,0,0,1,3,0,1.0,0,0,0,
2026,50157,김윤식,LG,LG,26,투수,11,1,14 1/3,0,0,2,1,1,1.0,0,0,0,
2026,51111,송승기,LG,LG,26,투수,11,11,49 1/3,0,0,1,4,0,1.0,0,0,0,
2026,68106,이재원,LG,LG,26,좌익수,11,7,65 2/3,0,0,13,0,0,1.0,0,0,0,
2026,55121,박시원,LG,LG,31,투수,10,0,10 1/3,1,0,0,1,0,0.5,0,0,0,
