season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2026,77263,김강률,LG,LG,1,0.0,1,0,0,0,0,,1,1,0,1,0,1,0,0,2.0,0,0,0,0,5,26,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.333,26.0,26.0,9.0,9.0,1.0,0.4,0.25,0.65
2026,50126,이민호,LG,LG,1,0.0,1,0,0,0,0,,1,0,0,1,0,1,0,0,1.0,0,0,0,0,4,18,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.0,0.0,18.0,18.0,9.0,9.0,1.0,0.25,0.0,0.25
2026,61145,이우찬,LG,LG,1,0.0,3,0,0,0,0,,2,3,0,1,0,2,0,0,2.0,0,0,0,0,10,36,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.33,0.429,12.0,18.0,9.0,4.5,2.0,0.4,0.444,0.844
2026,50106,유영찬,LG,LG,4,0.75,13,0,1,11,0,0.0,12,4,0,6,0,12,1,1,0.83,0,0,0,0,45,182,0.103,0,0,0,0,0,0,0,0,0,0,12,12,0,1,8,15,0.53,0.148,14.0,15.2,9.0,4.5,2.0,0.222,0.103,0.325
2026,67143,손주영,LG,LG,5,1.35,12,1,0,10,0,1.0,13 1/3,11,0,7,2,11,2,2,1.35,0,0,0,0,58,213,0.224,1,0,0,0,0,2,0,0,0,1,11,10,0,1,18,9,2.0,0.289,17.8,16.0,7.43,4.73,1.57,0.345,0.245,0.59
2026,64596,김유영,LG,LG,6,1.8,5,0,0,0,0,,5,3,0,4,0,8,1,1,1.4,0,0,0,0,21,96,0.176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.0,0.333,19.2,19.2,14.4,7.2,2.0,0.333,0.235,0.568
2026,55348,웰스,LG,LG,7,1.97,9,3,2,0,0,0.6,50 1/3,36,1,12,1,41,14,11,0.95,0,0,5,0,199,755,0.195,8,2,1,0,0,0,0,9,3,0,0,0,0,1,48,60,0.8,0.245,83.9,15.0,7.33,2.15,3.42,0.247,0.276,0.523
2026,51154,김진수,LG,LG,8,2.31,18,3,1,1,3,0.75,23 1/3,20,2,5,0,15,6,6,1.07,0,0,0,0,94,344,0.23,5,0,0,2,1,1,0,0,0,3,4,4,0,3,30,24,1.25,0.25,19.1,14.7,5.79,1.93,3.0,0.266,0.356,0.622
2026,55167,김영우,LG,LG,9,2.75,22,1,0,0,3,1.0,19 2/3,15,2,9,0,21,6,6,1.22,0,0,0,1,83,335,0.208,3,1,1,1,1,0,0,0,0,1,4,7,0,0,10,27,0.37,0.26,15.2,17.0,9.61,4.12,2.33,0.293,0.361,0.654
2026,50904,이종준,LG,LG,10,3.0,2,0,0,0,0,,3,1,0,0,1,3,1,1,0.33,0,0,0,0,11,50,0.1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0.5,0.143,25.0,16.7,9.0,0.0,,0.182,0.2,0.382
