season_year,player_id,player_name,team_name,team_code,rank_no,g,sba,sb,cs,sb_rate,oob,pko
2026,62415,박해민,LG,LG,1,53,18,14,4,77.8,3,0
2026,65207,신민재,LG,LG,2,52,9,8,1,88.9,0,1
2026,50054,천성호,LG,LG,3,51,6,5,1,83.3,1,0
2026,52103,최원영,LG,LG,4,25,6,4,2,66.7,0,0
2026,69100,구본혁,LG,LG,5,52,2,2,0,100.0,1,0
2026,79109,오지환,LG,LG,5,49,3,2,1,66.7,3,1
2026,66108,홍창기,LG,LG,5,48,2,2,0,100.0,1,0
2026,68119,문성주,LG,LG,8,26,2,1,1,50.0,1,0
2026,79365,박동원,LG,LG,8,47,2,1,1,50.0,3,0
2026,68110,송찬의,LG,LG,8,33,1,1,0,100.0,2,0
2026,51100,이영빈,LG,LG,8,32,1,1,0,100.0,1,0
2026,53103,강민균,LG,LG,12,1,0,0,0,,0,0
2026,64793,김민수,LG,LG,12,2,0,0,0,,0,0
2026,69105,김성진,LG,LG,12,4,0,0,0,,0,0
2026,66162,김주성,LG,LG,12,1,0,0,0,,0,0
2026,54166,김현종,LG,LG,12,16,0,0,0,,0,0
2026,69102,문보경,LG,LG,12,30,0,0,0,,0,0
2026,52121,문정빈,LG,LG,12,11,0,0,0,,0,0
2026,54156,손용준,LG,LG,12,1,0,0,0,,0,0
2026,67143,손주영,LG,LG,12,1,0,0,0,,0,0
2026,53123,오스틴,LG,LG,12,53,1,0,1,0.0,5,0
2026,51526,우강훈,LG,LG,12,1,0,0,0,,0,0
2026,68106,이재원,LG,LG,12,28,1,0,1,0.0,2,0
2026,52154,이주헌,LG,LG,12,28,0,0,0,,0,0
2026,63950,장현식,LG,LG,12,1,0,0,0,,0,0
2026,64006,심우준,한화,HH,1,44,9,8,1,88.9,0,0
2026,54730,페라자,한화,HH,2,52,9,6,3,66.7,1,0
2026,53764,문현빈,한화,HH,3,50,4,3,1,75.0,2,1
2026,56754,오재원,한화,HH,4,45,2,2,0,100.0,0,0
2026,68700,이원석,한화,HH,4,42,5,2,3,40.0,3,1
2026,66657,이진영,한화,HH,4,28,2,2,0,100.0,0,0
2026,54795,황영묵,한화,HH,4,29,3,2,1,66.7,0,0
2026,66704,김태연,한화,HH,8,44,2,1,1,50.0,2,0
2026,65703,이도윤,한화,HH,8,43,2,1,1,50.0,1,0
2026,79192,채은성,한화,HH,8,28,1,1,0,100.0,1,0
2026,68050,강백호,한화,HH,11,50,1,0,1,0.0,3,0
2026,53754,김서현,한화,HH,11,1,0,0,0,,0,0
2026,69737,노시환,한화,HH,11,45,2,0,2,0.0,1,0
2026,50709,박정현,한화,HH,11,7,0,0,0,,0,0
2026,65616,이민우,한화,HH,11,1,0,0,0,,0,0
2026,51762,장규현,한화,HH,11,1,0,0,0,,0,0
2026,54768,조동욱,한화,HH,11,1,0,0,0,,0,0
2026,56793,최유빈,한화,HH,11,4,0,0,0,,0,0
2026,50707,최인호,한화,HH,11,17,0,0,0,,0,0
2026,78288,최재훈,한화,HH,11,30,0,0,0,,0,0
2026,56760,쿠싱,한화,HH,11,3,0,0,0,,0,0
2026,62700,하주석,한화,HH,11,27,0,0,0,,0,0
2026,52764,허인서,한화,HH,11,44,1,0,1,0.0,0,0
2026,54812,정준재,SSG,SK,1,50,10,7,3,70.0,0,0
2026,50854,최지훈,SSG,SK,1,52,7,7,0,100.0,2,0
2026,67893,박성한,SSG,SK,3,53,6,5,1,83.3,1,0
2026,66864,안상현,SSG,SK,3,38,7,5,2,71.4,1,1
2026,60558,오태곤,SSG,SK,3,48,7,5,2,71.4,0,0
2026,69804,채현우,SSG,SK,6,33,4,4,0,100.0,1,0
2026,75847,최정,SSG,SK,7,44,4,3,1,75.0,0,0
2026,55897,홍대인,SSG,SK,7,24,4,3,1,75.0,0,0
2026,51868,고명준,SSG,SK,9,17,1,1,0,100.0,0,0
2026,62934,김성욱,SSG,SK,9,27,1,1,0,100.0,0,0
2026,78224,김재환,SSG,SK,9,45,1,1,0,100.0,1,0
2026,53865,김정민,SSG,SK,9,13,1,1,0,100.0,0,0
2026,79456,이지영,SSG,SK,9,32,1,1,0,100.0,0,0
2026,62895,한유섬,SSG,SK,9,35,1,1,0,100.0,2,0
2026,62864,김민식,SSG,SK,15,13,0,0,0,,0,0
2026,53893,김민준,SSG,SK,15,2,0,0,0,,0,0
2026,69825,김창평,SSG,SK,15,6,0,0,0,,0,0
2026,73211,노경은,SSG,SK,15,1,0,0,0,,0,0
2026,50868,류효승,SSG,SK,15,7,0,0,0,,0,0
2026,50812,박시후,SSG,SK,15,1,0,0,0,,0,0
2026,52804,석정우,SSG,SK,15,3,0,0,0,,0,0
2026,53827,에레디아,SSG,SK,15,53,3,0,3,0.0,2,0
2026,52868,이기순,SSG,SK,15,1,0,0,0,,0,0
2026,53892,이로운,SSG,SK,15,1,0,0,0,,0,0
2026,67807,이정범,SSG,SK,15,6,0,0,0,,0,0
2026,52807,임근우,SSG,SK,15,1,0,0,0,,0,0
2026,52809,전영준,SSG,SK,15,1,0,0,0,,0,0
2026,51897,조병현,SSG,SK,15,1,0,0,0,,0,0
2026,51865,조형우,SSG,SK,15,31,0,0,0,,0,0
2026,55894,최윤석,SSG,SK,15,1,0,0,0,,0,0
2026,68868,최준우,SSG,SK,15,15,0,0,0,,0,0
2026,62234,류지혁,삼성,SS,1,50,11,10,1,90.9,1,1
2026,67449,김성윤,삼성,SS,2,35,9,8,1,88.9,2,0
2026,50458,김지찬,삼성,SS,2,51,10,8,2,80.0,1,0
2026,69418,박승규,삼성,SS,4,38,5,5,0,100.0,0,1
2026,65586,전병우,삼성,SS,5,45,3,2,1,66.7,1,0
2026,55425,김상준,삼성,SS,6,15,1,1,0,100.0,0,0
2026,61404,김헌곤,삼성,SS,6,41,3,1,2,33.3,0,1
2026,74540,강민호,삼성,SS,8,40,2,0,2,0.0,1,0
2026,62404,구자욱,삼성,SS,8,35,1,0,1,0.0,0,0
2026,69442,김도환,삼성,SS,8,12,0,0,0,,0,0
2026,52430,김영웅,삼성,SS,8,10,0,0,0,,1,0
2026,53400,김재상,삼성,SS,8,6,0,0,0,,0,0
2026,65062,김재윤,삼성,SS,8,1,0,0,0,,0,0
2026,52424,김재혁,삼성,SS,8,10,0,0,0,,0,0
2026,65040,김태훈,삼성,SS,8,2,0,0,0,,0,0
2026,54400,디아즈,삼성,SS,8,52,0,0,0,,1,0
2026,64468,박계범,삼성,SS,8,16,0,0,0,,0,0
2026,62244,박세혁,삼성,SS,8,25,0,0,0,,0,0
2026,55438,심재훈,삼성,SS,8,9,0,0,0,,0,0
2026,69403,양우현,삼성,SS,8,27,0,0,0,,1,0
2026,68463,윤정빈,삼성,SS,8,1,0,0,0,,0,0
2026,66409,이성규,삼성,SS,8,12,0,0,0,,0,0
2026,60146,이승현,삼성,SS,8,1,0,0,0,,0,0
2026,52415,이재현,삼성,SS,8,32,0,0,0,,0,0
2026,69416,이해승,삼성,SS,8,19,0,0,0,,0,0
2026,63202,장승현,삼성,SS,8,21,0,0,0,,0,0
2026,55435,차승준,삼성,SS,8,1,0,0,0,,0,0
2026,72443,최형우,삼성,SS,8,50,0,0,0,,2,0
2026,55440,함수호,삼성,SS,8,11,0,0,0,,0,0
2026,67005,홍현빈,삼성,SS,8,9,0,0,0,,0,0
2026,62907,박민우,NC,NC,1,50,23,19,4,82.6,2,0
2026,51907,김주원,NC,NC,2,52,16,15,1,93.8,5,1
2026,69992,최정원,NC,NC,3,46,16,13,3,81.3,1,0
2026,79215,박건우,NC,NC,4,50,7,5,2,71.4,0,0
2026,56904,허윤,NC,NC,5,16,4,4,0,100.0,0,0
2026,56949,고준휘,NC,NC,6,13,2,1,1,50.0,0,0
2026,63963,권희동,NC,NC,6,18,2,1,1,50.0,1,0
2026,51344,김휘집,NC,NC,6,16,3,1,2,33.3,2,0
2026,54944,데이비슨,NC,NC,6,42,1,1,0,100.0,1,0
2026,50996,박시원,NC,NC,6,18,1,1,0,100.0,1,0
2026,69995,서호철,NC,NC,6,30,1,1,0,100.0,2,0
2026,64022,안중열,NC,NC,6,25,1,1,0,100.0,1,0
2026,63260,이우성,NC,NC,6,49,2,1,1,50.0,2,0
2026,64101,한석현,NC,NC,6,45,2,1,1,50.0,0,0
2026,51903,김정호,NC,NC,15,9,0,0,0,,0,0
2026,50902,김한별,NC,NC,15,28,0,0,0,,1,0
2026,68912,김형준,NC,NC,15,46,0,0,0,,1,0
2026,66965,도태훈,NC,NC,15,32,1,0,1,0.0,0,0
2026,53989,신성호,NC,NC,15,1,0,0,0,,0,0
2026,56909,신재인,NC,NC,15,31,0,0,0,,1,0
2026,68904,오영수,NC,NC,15,26,0,0,0,,0,0
2026,51991,오장한,NC,NC,15,1,0,0,0,,0,0
2026,51996,오태양,NC,NC,15,7,0,0,0,,1,0
2026,50092,윤준혁,NC,NC,15,3,0,0,0,,0,0
2026,67905,천재환,NC,NC,15,29,2,0,2,0.0,1,0
2026,50903,한재환,NC,NC,15,3,0,0,0,,0,0
2026,66606,최원준,KT,KT,1,52,19,13,6,68.4,2,0
2026,56034,힐리어드,KT,KT,2,53,6,4,2,66.7,3,0
2026,51013,유준규,KT,KT,3,30,4,3,1,75.0,3,0
2026,64004,김민혁,KT,KT,4,33,2,1,1,50.0,2,0
2026,53036,류현인,KT,KT,4,20,1,1,0,100.0,0,0
2026,64166,배정대,KT,KT,4,40,2,1,1,50.0,0,0
2026,52001,안현민,KT,KT,4,14,1,1,0,100.0,1,0
2026,78548,장성우,KT,KT,4,50,1,1,0,100.0,1,0
2026,79240,허경민,KT,KT,4,24,2,1,1,50.0,0,0
2026,69064,강민성,KT,KT,10,9,0,0,0,,0,0
2026,50066,강현우,KT,KT,10,15,0,0,0,,0,0
2026,51003,권동진,KT,KT,10,40,0,0,0,,0,0
2026,54097,김민석,KT,KT,10,1,0,0,0,,0,0
2026,65048,김민수,KT,KT,10,1,0,0,0,,0,0
2026,79402,김상수,KT,KT,10,50,3,0,3,0.0,0,0
2026,53029,김정운,KT,KT,10,1,0,0,0,,0,0
2026,76290,김현수,KT,KT,10,53,2,0,2,0.0,0,0
2026,52060,박영현,KT,KT,10,4,0,0,0,,0,0
2026,67006,안치영,KT,KT,10,4,0,0,0,,0,0
2026,55005,오서진,KT,KT,10,3,0,0,0,,0,0
2026,64504,오윤석,KT,KT,10,38,1,0,1,0.0,1,0
2026,73117,우규민,KT,KT,10,2,0,0,0,,0,0
2026,56006,이강민,KT,KT,10,47,0,0,0,,0,0
2026,67644,이정훈,KT,KT,10,36,0,0,0,,0,0
2026,64115,장준원,KT,KT,10,32,0,0,0,,1,0
2026,66706,장진혁,KT,KT,10,7,2,0,2,0.0,0,0
2026,68089,조대현,KT,KT,10,2,0,0,0,,0,0
2026,65060,주권,KT,KT,10,1,0,0,0,,0,0
2026,63722,한승택,KT,KT,10,41,0,0,0,,0,0
2026,68507,장두성,롯데,LT,1,49,11,11,0,100.0,2,0
2026,50500,황성빈,롯데,LT,1,34,12,11,1,91.7,0,0
2026,52568,한태양,롯데,LT,3,33,7,7,0,100.0,1,0
2026,68205,전민재,롯데,LT,4,50,7,5,2,71.4,4,0
2026,56595,김한홀,롯데,LT,5,4,1,1,0,100.0,0,0
2026,54529,레이예스,롯데,LT,5,52,1,1,0,100.0,2,0
2026,62802,박승욱,롯데,LT,5,45,1,1,0,100.0,1,0
2026,50150,손호영,롯데,LT,5,29,1,1,0,100.0,1,0
2026,54598,이호준,롯데,LT,5,37,2,1,1,50.0,0,0
2026,68525,한동희,롯데,LT,5,29,1,1,0,100.0,1,0
2026,69517,고승민,롯데,LT,11,22,1,0,1,0.0,2,0
2026,55502,김동현,롯데,LT,11,9,0,0,0,,0,0
2026,77564,김민성,롯데,LT,11,12,0,0,0,,0,0
2026,52514,김세민,롯데,LT,11,13,0,0,0,,0,0
2026,62528,김원중,롯데,LT,11,1,0,0,0,,0,0
2026,51551,나승엽,롯데,LT,11,20,0,0,0,,1,1
2026,62931,노진혁,롯데,LT,11,41,0,0,0,,2,0
2026,56531,로드리게스,롯데,LT,11,1,0,0,0,,0,0
2026,51528,손성빈,롯데,LT,11,49,0,0,0,,0,0
2026,69508,신윤후,롯데,LT,11,19,0,0,0,,0,0
2026,61102,유강남,롯데,LT,11,42,0,0,0,,1,0
2026,52591,윤동희,롯데,LT,11,30,1,0,1,0.0,2,0
2026,67588,윤성빈,롯데,LT,11,1,0,0,0,,0,0
2026,56563,이서준,롯데,LT,11,3,0,0,0,,0,0
2026,68529,이승헌,롯데,LT,11,1,0,0,0,,0,0
2026,78513,전준우,롯데,LT,11,49,1,0,1,0.0,2,0
2026,68518,정보근,롯데,LT,11,5,0,0,0,,0,0
2026,50556,최준용,롯데,LT,11,4,0,0,0,,0,0
2026,68260,현도훈,롯데,LT,11,1,0,0,0,,0,0
2026,55636,박재현,KIA,HT,1,50,13,12,1,92.3,0,1
2026,65653,김호령,KIA,HT,2,53,9,6,3,66.7,2,1
2026,66614,김규성,KIA,HT,3,48,4,4,0,100.0,0,0
2026,50657,박민,KIA,HT,3,44,4,4,0,100.0,0,0
2026,52605,김도영,KIA,HT,5,54,2,2,0,100.0,0,0
2026,56637,김민규,KIA,HT,5,9,2,2,0,100.0,0,0
2026,61353,고종욱,KIA,HT,7,16,1,1,0,100.0,0,0
2026,56632,데일,KIA,HT,7,34,1,1,0,100.0,0,0
2026,52667,윤도현,KIA,HT,7,10,1,1,0,100.0,0,0
2026,65769,김범수,KIA,HT,10,1,0,0,0,,0,0
2026,78603,김선빈,KIA,HT,10,53,0,0,0,,5,0
2026,78122,김태군,KIA,HT,10,27,0,0,0,,0,0
2026,62947,나성범,KIA,HT,10,50,0,0,0,,0,0
2026,52634,박상준,KIA,HT,10,17,0,0,0,,1,0
2026,67609,박정우,KIA,HT,10,41,1,0,1,0.0,1,0
2026,56613,아데를린,KIA,HT,10,22,0,0,0,,0,0
2026,69636,오선우,KIA,HT,10,16,0,0,0,,0,0
2026,64560,이창진,KIA,HT,10,1,0,0,0,,0,0
2026,68504,이호연,KIA,HT,10,6,0,0,0,,0,0
2026,55926,정현창,KIA,HT,10,43,0,0,0,,1,1
2026,66354,주효상,KIA,HT,10,5,0,0,0,,0,0
2026,56626,카스트로,KIA,HT,10,23,0,0,0,,0,0
2026,52628,한승연,KIA,HT,10,17,0,0,0,,0,0
2026,68646,한준수,KIA,HT,10,46,0,0,0,,0,0
2026,55267,홍민규,KIA,HT,10,1,0,0,0,,0,0
2026,64646,박찬호,두산,OB,1,54,17,14,3,82.4,0,0
2026,79231,정수빈,두산,OB,2,53,15,12,3,80.0,1,0
2026,56251,카메론,두산,OB,3,54,8,8,0,100.0,0,0
2026,66209,조수행,두산,OB,4,38,6,5,1,83.3,0,0
2026,50204,박지훈,두산,OB,5,50,5,4,1,80.0,1,0
2026,67207,이유찬,두산,OB,6,34,4,3,1,75.0,1,0
2026,63123,강승호,두산,OB,7,38,2,2,0,100.0,0,1
2026,53554,김민석,두산,OB,7,49,2,2,0,100.0,2,0
2026,51203,안재석,두산,OB,7,23,2,2,0,100.0,0,1
2026,55252,박준순,두산,OB,10,39,2,1,1,50.0,2,0
2026,66112,김기연,두산,OB,11,18,0,0,0,,1,0
2026,63257,김인태,두산,OB,11,27,0,0,0,,0,0
2026,68830,김정우,두산,OB,11,1,0,0,0,,0,0
2026,53404,류승민,두산,OB,11,2,0,0,0,,0,0
2026,51298,박성재,두산,OB,11,2,0,0,0,,0,0
2026,68249,박신지,두산,OB,11,1,0,0,0,,0,0
2026,77532,손아섭,두산,OB,11,24,0,0,0,,1,0
2026,64153,양석환,두산,OB,11,27,0,0,0,,0,0
2026,76232,양의지,두산,OB,11,51,0,0,0,,2,0
2026,55215,양재훈,두산,OB,11,1,0,0,0,,0,0
2026,50208,오명진,두산,OB,11,29,1,0,1,0.0,1,0
2026,53296,윤준호,두산,OB,11,35,0,0,0,,1,0
2026,52202,윤태호,두산,OB,11,1,0,0,0,,0,0
2026,66291,이영하,두산,OB,11,1,0,0,0,,0,0
2026,54236,임종성,두산,OB,11,12,0,0,0,,0,0
2026,56215,최주형,두산,OB,11,1,0,0,0,,0,0
2026,66233,홍성호,두산,OB,11,3,0,0,0,,0,0
2026,50167,이주형,키움,WO,1,23,4,4,0,100.0,0,0
2026,50357,박주홍,키움,WO,2,45,3,3,0,100.0,1,0
2026,78135,이형종,키움,WO,3,35,2,2,0,100.0,0,0
2026,64346,임병욱,키움,WO,3,32,2,2,0,100.0,2,0
2026,56322,브룩스,키움,WO,5,41,1,1,0,100.0,3,0
2026,64340,임지열,키움,WO,5,20,2,1,1,50.0,1,0
2026,55371,권혁빈,키움,WO,7,25,0,0,0,,0,0
2026,53312,김건희,키움,WO,7,52,0,0,0,,1,0
2026,53344,김동헌,키움,WO,7,6,0,0,0,,0,0
2026,65898,김웅빈,키움,WO,7,17,0,0,0,,1,0
2026,54319,김윤하,키움,WO,7,1,0,0,0,,0,0
2026,62332,김재현,키움,WO,7,5,0,0,0,,0,0
2026,56326,김지석,키움,WO,7,17,0,0,0,,0,0
2026,64984,김태진,키움,WO,7,5,0,0,0,,0,0
2026,75125,박병호,키움,WO,7,1,0,0,0,,0,0
2026,53305,박성빈,키움,WO,7,13,0,0,0,,0,0
2026,52305,박수종,키움,WO,7,26,0,0,0,,1,0
2026,56337,박지성,키움,WO,7,1,0,0,0,,0,0
2026,63512,박진형,키움,WO,7,1,0,0,0,,0,0
2026,52348,박찬혁,키움,WO,7,19,0,0,0,,0,0
2026,54303,박채울,키움,WO,7,2,0,0,0,,0,0
2026,56304,박한결,키움,WO,7,14,0,0,0,,0,0
2026,78168,서건창,키움,WO,7,20,0,0,0,,0,0
2026,54394,송지후,키움,WO,7,13,0,0,0,,0,0
2026,79608,안치홍,키움,WO,7,53,0,0,0,,0,0
2026,55370,양현종,키움,WO,7,15,0,0,0,,0,1
2026,55392,어준서,키움,WO,7,12,0,0,0,,0,0
2026,55393,여동욱,키움,WO,7,6,0,0,0,,1,0
2026,55339,염승원,키움,WO,7,5,0,0,0,,0,0
2026,78756,오선진,키움,WO,7,39,0,0,0,,0,0
2026,51302,이주형,키움,WO,7,5,0,0,0,,0,0
2026,55397,전태현,키움,WO,7,6,0,0,0,,1,0
2026,69360,조영건,키움,WO,7,1,0,0,0,,0,0
2026,69332,주성원,키움,WO,7,9,0,0,0,,0,0
2026,56338,최재영,키움,WO,7,14,0,0,0,,0,0
2026,76267,최주환,키움,WO,7,50,0,0,0,,2,0
2026,68362,추재현,키움,WO,7,5,0,0,0,,0,0
2026,56305,히우라,키움,WO,7,2,0,0,0,,0,0
