season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2021,SSG,team_defense,1,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,14,3830,1409,123,0.981,12,105,46,30.5,,,
2021,LG,team_defense,2,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,4,3817,1481,147,0.983,12,98,40,29.0,,,
2021,롯데,team_defense,3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,9,3813,1403,123,0.984,8,101,44,30.3,,,
2021,두산,team_defense,4,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,8,3808,1296,120,0.983,10,83,48,36.6,,,
2021,KIA,team_defense,5,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,9,3807,1368,139,0.979,10,92,43,31.9,,,
2021,KT,team_defense,6,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,7,3792,1466,133,0.979,7,93,31,25.0,,,
2021,키움,team_defense,7,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,14,3790,1532,152,0.976,5,85,35,29.2,,,
2021,삼성,team_defense,8,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,6,3777,1335,130,0.983,5,61,26,29.9,,,
2021,한화,team_defense,9,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,7,3776,1262,121,0.977,7,111,41,27.0,,,
2021,NC,team_defense,10,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,4,3770,1292,105,0.979,5,84,40,32.3,,,
