season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2025,LG,team_hitter,1,0.278,,144,5713,4919,788,1366,219,19,130,2013,732,63,59,604,16,68,975,99,0.409,0.361,0.77,144,0.282,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,삼성,team_hitter,2,0.271,,144,5671,4899,775,1330,241,18,161,2090,728,67,55,564,25,86,1087,106,0.427,0.353,0.78,141,0.291,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,롯데,team_hitter,3,0.267,,144,5682,4944,676,1318,242,26,75,1837,629,72,45,530,28,91,1030,123,0.372,0.346,0.718,144,0.275,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,한화,team_hitter,4,0.266,,144,5547,4892,689,1303,250,16,116,1933,643,79,46,439,22,90,1038,109,0.395,0.335,0.73,143,0.276,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,두산,team_hitter,5,0.262,,144,5581,4952,647,1298,232,31,102,1898,592,53,42,469,20,65,1169,87,0.383,0.331,0.714,144,0.263,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,NC,team_hitter,6,0.26,,144,5570,4816,732,1254,221,31,128,1921,685,62,52,504,11,136,1090,83,0.399,0.344,0.743,142,0.283,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,KIA,team_hitter,7,0.258,,144,5619,4944,668,1276,232,16,144,1972,624,43,39,526,17,67,1211,96,0.399,0.335,0.734,142,0.25,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,SSG,team_hitter,8,0.256,,144,5517,4875,609,1249,175,14,127,1833,578,52,37,493,19,60,1159,90,0.376,0.33,0.706,144,0.253,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,KT,team_hitter,9,0.253,,144,5588,4845,648,1228,214,17,104,1788,613,65,43,555,16,80,1044,108,0.369,0.337,0.706,144,0.269,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,키움,team_hitter,10,0.244,,144,5508,4935,581,1202,217,20,104,1771,540,38,33,439,13,63,1221,102,0.359,0.312,0.671,141,0.256,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,KT,team_hitter,1,0.286,,38,1561,1340,218,383,64,6,29,546,209,19,11,177,4,14,291,33,0.407,0.372,0.779,38,0.291,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,한화,team_hitter,2,0.281,,38,1581,1365,237,383,56,6,42,577,221,16,12,165,2,23,285,30,0.423,0.365,0.788,37,0.301,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,LG,team_hitter,3,0.273,,38,1518,1270,177,347,53,5,22,476,172,26,16,177,6,29,259,26,0.375,0.371,0.746,38,0.275,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,삼성,team_hitter,4,0.271,,38,1535,1307,196,354,60,9,32,528,185,8,15,183,5,22,266,28,0.404,0.366,0.77,38,0.251,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,SSG,team_hitter,5,0.266,,38,1537,1315,206,350,65,6,39,544,195,10,17,176,4,19,287,25,0.414,0.357,0.771,38,0.286,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,NC,team_hitter,6,0.262,,38,1503,1293,187,339,62,0,35,506,175,16,10,145,3,39,289,26,0.391,0.352,0.743,38,0.27,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,KIA,team_hitter,7,0.256,,39,1533,1316,196,337,72,0,44,541,190,23,14,164,7,16,295,32,0.411,0.342,0.753,39,0.266,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,롯데,team_hitter,8,0.254,,37,1423,1282,141,326,62,5,25,473,132,8,9,111,5,13,282,24,0.369,0.318,0.687,37,0.243,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,두산,team_hitter,9,0.249,,39,1530,1315,183,328,57,10,30,495,167,22,19,148,2,26,286,27,0.376,0.333,0.709,39,0.257,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,키움,team_hitter,10,0.23,,39,1477,1302,131,299,59,2,19,419,120,17,10,123,3,25,335,28,0.322,0.306,0.628,39,0.227,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
