season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2026,KIA,team_pitcher,1,0.247,4.02,62,,,275,516,84,6,58,,,25,12,230,10,31,453,,,,,,,,33,28,12,35,0.541,549,245,1.36,1,6,22,9,2388,9401,20,2,,,,,,,,,,,,,
2026,두산,team_pitcher,2,0.267,4.02,62,,,287,573,106,8,40,,,32,23,226,5,32,513,,,,,,,,30,30,13,21,0.5,551,246,1.45,0,4,27,7,2463,9573,31,2,,,,,,,,,,,,,
2026,삼성,team_pitcher,3,0.26,4.2,60,,,273,528,92,6,57,,,27,20,220,9,38,431,,,,,,,,33,26,16,33,0.559,533,249,1.4,1,2,28,9,2333,9021,22,0,,,,,,,,,,,,,
2026,LG,team_pitcher,4,0.274,4.37,61,,,280,584,90,10,49,,,16,18,207,3,27,419,,,,,,,,38,23,27,50,0.623,541 1/3,263,1.46,0,3,19,11,2398,9356,26,1,,,,,,,,,,,,,
2026,KT,team_pitcher,5,0.272,4.53,61,,,299,580,92,8,54,,,23,19,191,11,38,479,,,,,,,,36,24,15,27,0.6,546 1/3,275,1.41,0,4,25,9,2403,9154,29,0,,,,,,,,,,,,,
2026,롯데,team_pitcher,6,0.265,4.63,60,,,314,545,107,7,54,,,37,17,244,10,29,479,,,,,,,,23,36,12,25,0.39,534 2/3,275,1.48,0,1,24,9,2387,9388,41,1,,,,,,,,,,,,,
2026,NC,team_pitcher,7,0.252,4.64,60,,,308,507,86,11,64,,,26,20,258,6,37,467,,,,,,,,27,32,10,36,0.458,529 1/3,273,1.45,0,2,15,11,2353,9368,35,0,,,,,,,,,,,,,
2026,한화,team_pitcher,8,0.27,4.76,60,,,327,560,88,13,52,,,28,21,261,1,44,445,,,,,,,,31,28,11,38,0.525,537 1/3,284,1.53,0,1,18,9,2429,9496,24,1,,,,,,,,,,,,,
2026,키움,team_pitcher,9,0.287,5.08,63,,,335,631,120,16,54,,,30,28,233,3,29,460,,,,,,,,23,39,15,34,0.371,554,313,1.56,0,5,13,9,2516,9804,32,1,,,,,,,,,,,,,
2026,SSG,team_pitcher,10,0.261,5.4,61,,,350,541,81,5,65,,,21,21,298,11,40,457,,,,,,,,26,34,9,25,0.433,536 2/3,322,1.56,0,3,7,9,2453,9753,26,3,,,,,,,,,,,,,
