season_year,team_name,rank_no,games,wins,losses,draws,win_rate,game_gap,last10,streak,home,away,series
2026,삼성,1,47,28,18,1,0.609,0,6승0무4패,1승,14-1-9,14-0-9,
2026,LG,2,47,28,19,0,0.596,0.5,6승0무4패,2승,16-0-10,12-0-9,
2026,KT,3,47,27,19,1,0.587,1,4승0무6패,1패,15-0-11,12-1-8,
2026,KIA,4,48,25,22,1,0.532,3.5,8승0무2패,3승,15-1-9,10-0-13,
2026,한화,5,47,23,24,0,0.489,5.5,6승0무4패,3승,9-0-16,14-0-8,
2026,SSG,6,48,22,25,1,0.468,6.5,2승0무8패,7패,10-1-11,12-0-14,
2026,두산,6,48,22,25,1,0.468,6.5,4승0무6패,3패,13-0-9,9-1-16,
2026,롯데,8,46,19,26,1,0.422,8.5,5승0무5패,1패,7-0-15,12-1-11,
2026,키움,9,49,20,28,1,0.417,9,6승0무4패,2패,13-1-10,7-0-18,
2026,NC,10,47,19,27,1,0.413,9,3승0무7패,1승,9-0-12,10-1-15,
