순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,player_link,player_id,season_year,team_code
1,오지환,LG,유격수,132,129,1060 2/3,13,0,175,359,90,0.976,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79109,79109,2021,LG
2,서건창,LG,2루수,131,127,1038 1/3,8,0,253,307,82,0.986,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=78168,78168,2021,LG
3,유강남,LG,포수,129,117,961,3,1,829,66,7,0.997,9,77,23,23.0,/Record/Player/HitterDetail/Basic.aspx?playerId=61102,61102,2021,LG
4,김민성,LG,3루수,117,107,854,7,0,54,176,22,0.970,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2021,LG
5,홍창기,LG,중견수,116,108,891,2,0,194,3,1,0.990,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2021,LG
6,채은성,LG,우익수,84,79,641 1/3,1,0,147,4,1,0.993,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79192,79192,2021,LG
7,김현수,LG,좌익수,80,76,615 2/3,0,0,112,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2021,LG
8,김용의,LG,1루수,79,3,155 2/3,1,0,153,15,18,0.994,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=78217,78217,2021,LG
9,정주현,LG,2루수,72,67,505,12,0,110,188,44,0.961,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=79150,79150,2021,LG
10,정우영,LG,투수,70,0,65,1,0,6,19,2,0.962,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69159,69159,2021,LG
11,이정용,LG,투수,66,0,69 2/3,1,0,3,8,2,0.917,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69134,69134,2021,LG
12,김대유,LG,투수,64,0,50 2/3,2,1,2,8,0,0.833,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=60337,60337,2021,LG
13,고우석,LG,투수,63,0,58,0,0,2,11,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=67119,67119,2021,LG
14,문보경,LG,1루수,61,48,390 2/3,2,0,403,38,45,0.995,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2021,LG
15,구본혁,LG,2루수,55,0,89,1,0,23,19,7,0.977,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69100,69100,2021,LG
15,김재성,LG,포수,55,16,198 2/3,1,0,162,13,1,0.994,2,13,5,27.8,/Record/Player/HitterDetail/Basic.aspx?playerId=65132,65132,2021,LG
17,문보경,LG,3루수,54,31,270 2/3,3,0,25,65,2,0.968,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2021,LG
18,진해수,LG,투수,50,0,44 1/3,0,0,4,9,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=76650,76650,2021,LG
