순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,player_link,player_id,season_year,team_code
1,홍창기,LG,0.328,144,651,524,103,172,26,2,4,214,52,0,2,109,4,16,95,6,0.408,0.456,0.864,57,0.343,0.500,32,138,121,1.14,8,1.15,4.17,0.080,106.4,0.307,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2021,LG
2,이상호,LG,0.308,45,68,65,5,20,2,0,0,22,12,2,0,1,0,0,10,2,0.338,0.318,0.656,3,0.550,0.667,2,20,15,1.33,1,0.10,3.46,0.031,6.0,0.228,/Record/Retire/Hitter.aspx?playerId=60566,60566,2021,LG
3,한석현,LG,0.286,16,26,21,5,6,2,1,0,10,1,0,1,3,0,1,7,1,0.476,0.385,0.861,1,0.000,0.500,3,3,6,0.50,0,0.43,4.31,0.190,4.3,0.292,/Record/Player/HitterDetail/Basic.aspx?playerId=64101,64101,2021,LG
4,김현수,LG,0.285,140,595,506,70,144,23,1,17,220,96,0,9,77,5,3,42,7,0.435,0.376,0.811,43,0.279,0.000,41,156,173,0.90,19,1.83,3.79,0.150,88.7,0.278,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2021,LG
5,채은성,LG,0.276,110,448,387,59,107,20,0,16,175,82,0,7,38,2,16,80,9,0.452,0.359,0.811,27,0.317,0.167,36,89,118,0.75,7,0.48,3.88,0.176,64.6,0.275,/Record/Player/HitterDetail/Basic.aspx?playerId=79192,79192,2021,LG
6,오지환,LG,0.254,134,532,464,62,118,19,2,8,165,57,4,5,54,0,5,82,11,0.356,0.335,0.691,30,0.248,0.250,29,142,127,1.12,8,0.66,3.86,0.101,58.2,0.240,/Record/Player/HitterDetail/Basic.aspx?playerId=79109,79109,2021,LG
7,서건창,LG,0.253,144,600,513,78,130,24,2,6,176,52,5,4,69,2,9,78,14,0.343,0.350,0.693,32,0.240,0.286,32,154,155,0.99,4,0.88,3.93,0.090,65.6,0.243,/Record/Player/HitterDetail/Basic.aspx?playerId=78168,78168,2021,LG
8,유강남,LG,0.252,130,441,397,39,100,16,0,11,149,60,3,2,25,1,14,75,11,0.375,0.317,0.692,22,0.254,0.500,27,120,104,1.15,11,0.33,3.90,0.123,46.9,0.236,/Record/Player/HitterDetail/Basic.aspx?playerId=61102,61102,2021,LG
9,이재원,LG,0.247,62,171,154,22,38,6,0,5,59,17,0,1,14,0,2,48,2,0.383,0.316,0.699,9,0.191,0.000,11,30,39,0.77,0,0.29,4.18,0.136,19.8,0.238,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2021,LG
10,라모스,LG,0.243,51,205,185,14,45,7,1,8,78,25,0,0,18,0,2,43,2,0.422,0.317,0.739,11,0.218,0.333,16,36,61,0.59,2,0.42,3.99,0.178,25.2,0.248,/Record/Retire/Hitter.aspx?playerId=50165,50165,2021,LG
10,이영빈,LG,0.243,72,169,148,21,36,9,0,2,51,16,2,1,15,0,3,51,1,0.345,0.323,0.668,7,0.297,0.467,11,33,29,1.14,4,0.29,3.99,0.101,17.7,0.232,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2021,LG
12,정주현,LG,0.238,73,214,181,26,43,7,1,3,61,10,9,0,24,0,0,32,4,0.337,0.327,0.664,8,0.159,1.000,11,56,50,1.12,1,0.75,3.79,0.099,20.3,0.231,/Record/Retire/Hitter.aspx?playerId=79150,79150,2021,LG
13,문보경,LG,0.230,107,329,278,37,64,11,1,8,101,39,3,2,46,1,0,64,5,0.363,0.337,0.700,14,0.324,0.308,20,80,72,1.11,1,0.72,4.22,0.133,37.5,0.242,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2021,LG
