season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2026,62415,박해민,LG,LG,1,중견수,42,37,328,0,0,111,2,1,1.0,0,0,0,
2026,65207,신민재,LG,LG,2,2루수,40,34,321,1,0,66,108,22,0.994,0,0,0,
2026,79109,오지환,LG,LG,3,유격수,38,33,282 2/3,8,0,56,84,21,0.946,0,0,0,
2026,79365,박동원,LG,LG,4,포수,37,33,286,1,2,234,23,0,0.996,1,29,12,29.3
2026,66108,홍창기,LG,LG,5,우익수,36,33,293,0,0,74,2,1,1.0,0,0,0,
2026,53123,오스틴,LG,LG,6,1루수,34,33,285,3,0,236,24,23,0.989,0,0,0,
2026,50054,천성호,LG,LG,7,3루수,33,28,226,8,0,20,32,2,0.867,0,0,0,
2026,69100,구본혁,LG,LG,8,3루수,26,11,123 2/3,1,0,5,15,1,0.952,0,0,0,
2026,68119,문성주,LG,LG,9,좌익수,23,20,174 1/3,1,0,48,1,0,0.98,0,0,0,
2026,75867,김진성,LG,LG,10,투수,21,0,19,1,0,0,2,0,0.667,0,0,0,
2026,51526,우강훈,LG,LG,10,투수,21,0,17 1/3,0,0,2,3,0,1.0,0,0,0,
2026,52154,이주헌,LG,LG,12,포수,20,9,84,2,0,63,4,1,0.971,0,6,2,25.0
2026,63950,장현식,LG,LG,13,투수,19,0,18,0,0,2,2,0,1.0,0,0,0,
2026,55167,김영우,LG,LG,15,투수,17,0,14 2/3,0,0,0,0,0,,0,0,0,
2026,63248,함덕주,LG,LG,15,투수,17,0,13 1/3,0,0,1,2,0,1.0,0,0,0,
2026,68110,송찬의,LG,LG,17,좌익수,16,16,125 1/3,1,0,34,2,0,0.973,0,0,0,
2026,50106,유영찬,LG,LG,18,투수,13,0,12,0,0,1,0,0,1.0,0,0,0,
2026,69134,이정용,LG,LG,19,투수,12,3,21 1/3,0,0,1,1,0,1.0,0,0,0,
2026,51154,김진수,LG,LG,20,투수,11,0,15 2/3,0,0,1,0,0,1.0,0,0,0,
2026,63145,배재준,LG,LG,20,투수,11,0,10 2/3,0,0,0,2,1,1.0,0,0,0,
2026,61101,임찬규,LG,LG,23,투수,9,9,48 1/3,0,1,4,9,0,1.0,0,0,0,
2026,51111,송승기,LG,LG,24,투수,8,8,38 2/3,0,0,1,3,0,1.0,0,0,0,
2026,51100,이영빈,LG,LG,24,3루수,8,2,23 1/3,1,0,4,5,0,0.9,0,0,0,
2026,68106,이재원,LG,LG,24,좌익수,8,5,49 2/3,0,0,8,0,0,1.0,0,0,0,
2026,52103,최원영,LG,LG,24,중견수,8,1,22,0,0,12,0,0,1.0,0,0,0,
2026,55130,톨허스트,LG,LG,24,투수,8,8,45 2/3,0,0,1,3,0,1.0,0,0,0,
2026,55348,웰스,LG,LG,29,투수,7,7,39 1/3,0,0,1,4,0,1.0,0,0,0,
2026,55146,치리노스,LG,LG,32,투수,6,6,24 2/3,1,0,3,7,0,0.909,0,0,0,
2026,64596,김유영,LG,LG,35,투수,5,0,5,0,0,0,0,0,,0,0,0,
2026,55121,박시원,LG,LG,35,투수,5,0,5 1/3,0,0,0,1,0,1.0,0,0,0,
2026,50157,김윤식,LG,LG,39,투수,4,0,6 1/3,0,0,1,1,1,1.0,0,0,0,
2026,69102,문보경,LG,LG,39,1루수,4,4,30 2/3,1,0,35,0,0,0.972,0,0,0,
2026,68159,성동현,LG,LG,39,투수,4,0,4,0,0,1,1,0,1.0,0,0,0,
2026,67143,손주영,LG,LG,39,투수,4,0,5,0,0,0,1,0,1.0,0,0,0,
2026,54166,김현종,LG,LG,46,중견수,3,1,7,0,0,2,0,0,1.0,0,0,0,
2026,65109,백승현,LG,LG,46,투수,3,0,3,0,0,0,0,0,,0,0,0,
