season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2026,52121,문정빈,LG,LG,1,0.667,3,10,6,4,4,1,0,1,8,3,0,1,3,0,0,0,0,1.333,0.7,2.033,1,0.0,0.0,2,1,2,0.5,1,,4.6,0.667,4.4,0.648
2026,68119,문성주,LG,LG,2,0.366,26,97,82,6,30,6,0,0,36,12,2,2,9,2,2,11,0,0.439,0.432,0.871,8,0.409,0.333,6,20,23,0.87,4,0.82,3.98,0.073,15.8,0.304
2026,53123,오스틴,LG,LG,3,0.359,42,194,170,33,61,10,3,11,110,36,0,1,21,1,2,23,4,0.647,0.433,1.08,17,0.383,0.0,24,34,53,0.64,4,0.91,3.71,0.288,41.0,0.357
2026,69102,문보경,LG,LG,4,0.31,30,132,100,14,31,3,0,3,43,19,0,2,29,2,1,21,3,0.43,0.462,0.892,8,0.433,0.0,6,30,20,1.5,2,1.38,4.14,0.12,22.3,0.315
2026,51100,이영빈,LG,LG,5,0.304,22,27,23,5,7,1,0,1,11,4,0,0,4,0,0,7,0,0.478,0.407,0.885,0,0.0,0.0,2,5,4,1.25,0,0.57,4.26,0.174,4.5,0.303
2026,50054,천성호,LG,LG,6,0.289,41,149,135,23,39,7,1,1,51,15,2,0,11,1,1,19,4,0.378,0.347,0.725,12,0.222,0.5,9,52,25,2.08,2,0.58,3.77,0.089,17.2,0.251
2026,69100,구본혁,LG,LG,7,0.287,41,112,94,11,27,1,0,0,28,8,6,0,11,0,1,16,1,0.298,0.368,0.666,7,0.241,0.667,1,27,24,1.13,3,0.69,3.64,0.011,11.9,0.24
2026,68110,송찬의,LG,LG,8,0.271,24,88,70,15,19,3,0,5,37,14,0,0,10,0,8,18,5,0.529,0.42,0.949,4,0.2,1.0,8,15,18,0.83,1,0.56,3.7,0.257,14.4,0.321
2026,62415,박해민,LG,LG,9,0.267,42,156,131,14,35,6,0,0,41,16,6,5,11,0,3,22,0,0.313,0.327,0.64,7,0.278,0.0,6,24,55,0.44,3,0.5,4.01,0.046,17.6,0.225
2026,79109,오지환,LG,LG,10,0.241,39,139,116,13,28,5,0,2,39,22,5,2,14,0,2,22,2,0.336,0.328,0.664,6,0.306,0.0,7,37,31,1.19,2,0.64,4.03,0.095,14.4,0.232
