season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2026,61145,이우찬,LG,LG,1,0.0,3,0,0,0,0,,2,3,0,1,0,2,0,0,2.0,0,0,0,0,10,36,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.33,0.429,12.0,18.0,9.0,4.5,2.0,0.4,0.444,0.844
2026,50106,유영찬,LG,LG,2,0.75,13,0,1,11,0,0.0,12,4,0,6,0,12,1,1,0.83,0,0,0,0,45,182,0.103,0,0,0,0,0,0,0,0,0,0,12,12,0,1,8,15,0.53,0.148,14.0,15.2,9.0,4.5,2.0,0.222,0.103,0.325
2026,50157,김윤식,LG,LG,3,1.0,5,0,0,0,0,,9,5,0,3,1,6,1,1,0.89,0,0,0,0,33,124,0.172,1,0,0,0,0,0,0,0,0,0,1,0,0,4,10,8,1.25,0.217,24.8,13.8,6.0,3.0,2.0,0.273,0.207,0.48
2026,67143,손주영,LG,LG,4,1.42,5,0,0,4,0,,6 1/3,6,0,2,0,7,1,1,1.26,0,0,0,0,27,107,0.24,1,0,0,0,0,2,0,0,0,0,4,4,0,0,8,4,2.0,0.333,21.4,16.9,9.95,2.84,3.5,0.296,0.28,0.576
2026,64596,김유영,LG,LG,5,1.8,5,0,0,0,0,,5,3,0,4,0,8,1,1,1.4,0,0,0,0,21,96,0.176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.0,0.333,19.2,19.2,14.4,7.2,2.0,0.333,0.235,0.568
2026,55348,웰스,LG,LG,6,2.06,7,2,2,0,0,0.5,39 1/3,28,1,10,0,28,11,9,0.97,0,0,4,0,155,601,0.194,8,2,1,0,0,0,0,7,2,0,0,0,0,1,41,47,0.87,0.235,85.9,15.3,6.41,2.29,2.8,0.247,0.299,0.546
2026,51154,김진수,LG,LG,7,2.6,12,2,1,1,1,0.667,17 1/3,16,2,4,0,11,5,5,1.15,0,0,0,0,71,277,0.246,3,0,0,2,0,1,0,0,0,2,4,2,0,2,21,19,1.11,0.259,23.1,16.0,5.71,2.08,2.75,0.282,0.385,0.667
2026,50904,이종준,LG,LG,8,3.0,2,0,0,0,0,,3,1,0,0,1,3,1,1,0.33,0,0,0,0,11,50,0.1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0.5,0.143,25.0,16.7,9.0,0.0,,0.182,0.2,0.382
2026,75867,김진성,LG,LG,9,3.15,22,3,0,0,9,1.0,20,22,3,6,0,14,7,7,1.4,0,0,0,2,85,331,0.297,4,0,1,4,0,1,0,0,0,3,1,8,0,2,8,34,0.24,0.311,15.0,16.6,6.3,2.7,2.33,0.333,0.473,0.806
2026,55167,김영우,LG,LG,10,3.52,18,1,0,0,3,1.0,15 1/3,14,2,8,0,15,6,6,1.43,0,0,0,1,68,268,0.241,3,1,1,1,1,0,0,0,0,1,3,7,0,0,8,22,0.36,0.286,14.9,17.5,8.8,4.7,1.88,0.328,0.431,0.759
2026,55130,톨허스트,LG,LG,11,3.72,9,5,3,0,0,0.625,46,39,4,15,7,37,19,19,1.17,0,0,6,0,199,750,0.225,6,0,2,2,0,0,1,9,5,0,0,0,0,3,40,59,0.68,0.261,83.3,16.3,7.24,2.93,2.47,0.31,0.329,0.639
2026,51111,송승기,LG,LG,12,4.19,8,2,1,0,0,0.667,38 2/3,41,5,13,0,32,21,18,1.4,0,0,1,0,171,709,0.265,4,1,1,2,0,4,0,8,2,0,0,0,0,2,36,48,0.75,0.3,88.6,18.3,7.45,3.03,2.46,0.318,0.4,0.718
2026,61101,임찬규,LG,LG,13,4.47,9,3,1,0,0,0.75,48 1/3,64,4,13,1,25,25,24,1.59,0,0,2,0,214,823,0.325,13,0,1,2,0,1,0,9,3,0,0,0,0,4,51,59,0.86,0.353,91.4,17.0,4.66,2.42,1.92,0.366,0.452,0.818
2026,69134,이정용,LG,LG,14,4.64,12,0,0,0,1,,21 1/3,28,2,9,2,11,14,11,1.73,0,0,0,0,103,371,0.315,4,1,1,2,0,1,0,3,0,0,2,2,0,0,27,25,1.08,0.333,30.9,17.4,4.64,3.8,1.22,0.382,0.449,0.831
2026,51526,우강훈,LG,LG,15,5.0,22,0,0,0,10,,18,17,1,7,3,21,14,10,1.33,0,0,0,2,81,307,0.239,3,0,0,0,0,1,0,0,0,0,0,16,0,2,21,12,1.75,0.327,14.0,17.1,10.5,3.5,3.0,0.333,0.324,0.657
2026,55121,박시원,LG,LG,16,5.06,5,0,1,0,0,0.0,5 1/3,6,0,3,1,0,4,3,1.69,0,0,0,0,25,91,0.3,0,0,1,0,0,2,0,0,0,0,3,0,0,0,8,6,1.33,0.3,18.2,17.1,0.0,5.06,0.0,0.417,0.3,0.717
2026,63950,장현식,LG,LG,17,5.5,19,4,2,2,7,0.667,18,19,4,8,1,16,11,11,1.5,0,0,0,3,79,334,0.271,0,0,0,0,1,2,0,0,0,4,3,10,0,3,20,15,1.33,0.3,17.6,18.6,8.0,4.0,2.0,0.354,0.443,0.797
2026,55146,치리노스,LG,LG,18,5.7,7,2,3,0,0,0.4,30,39,2,13,4,24,20,19,1.73,0,0,0,0,144,581,0.315,6,0,3,0,0,1,0,7,2,0,0,0,0,5,41,20,2.05,0.378,83.0,19.4,7.2,3.9,1.85,0.397,0.411,0.808
2026,63248,함덕주,LG,LG,19,7.43,17,1,1,1,2,0.5,13 1/3,21,3,6,0,7,11,11,2.03,0,0,0,1,67,302,0.344,1,0,0,0,0,0,0,0,0,1,2,4,0,0,12,21,0.57,0.353,17.8,22.7,4.73,4.05,1.17,0.403,0.508,0.911
2026,63145,배재준,LG,LG,20,9.0,12,1,1,0,2,0.5,11,17,2,8,0,12,11,11,2.27,0,0,0,1,55,227,0.37,2,0,0,1,0,1,0,0,0,1,1,4,0,2,7,11,0.64,0.455,18.9,20.6,9.82,6.55,1.5,0.455,0.543,0.998
2026,51163,조건희,LG,LG,20,9.0,2,0,0,0,0,,2,4,1,2,0,1,2,2,3.0,0,0,0,0,12,47,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0.67,0.375,23.5,23.5,4.5,9.0,0.5,0.5,0.7,1.2
2026,68159,성동현,LG,LG,22,11.12,5,0,0,0,0,,5 2/3,10,2,4,1,5,8,7,2.47,0,0,0,0,33,126,0.357,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,7,0.86,0.381,25.2,22.2,7.94,6.35,1.25,0.455,0.571,1.026
2026,69168,이상영,LG,LG,23,13.5,1,0,1,0,0,0.0,3 1/3,9,0,2,0,0,5,5,3.3,0,0,0,0,18,58,0.563,2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,2,2.5,0.563,58.0,17.4,0.0,5.4,0.0,0.611,0.688,1.299
2026,65109,백승현,LG,LG,24,17.18,4,0,0,0,0,,3 2/3,5,2,3,0,6,7,7,2.18,0,0,0,0,19,80,0.313,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,1,4.0,0.375,20.0,21.8,14.73,7.36,2.0,0.421,0.688,1.109
2026,69205,이교훈,한화,HH,1,0.0,1,0,0,0,0,,1/3,1,0,1,0,1,2,0,6.0,0,0,0,0,3,11,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,11.0,33.0,27.0,27.0,1.0,0.667,0.5,1.167
2026,56724,화이트,한화,HH,2,2.08,2,1,1,0,0,0.5,8 2/3,7,0,2,0,6,3,2,1.04,0,0,1,0,37,142,0.2,2,0,0,0,0,1,0,2,1,0,0,0,0,0,11,11,1.0,0.241,71.0,16.4,6.23,2.08,3.0,0.243,0.257,0.5
2026,56709,박준영,한화,HH,3,2.57,3,1,0,0,1,1.0,7,7,1,5,0,4,2,2,1.71,0,0,0,0,32,133,0.269,2,0,0,1,0,1,0,1,1,0,0,0,0,1,8,8,1.0,0.273,44.3,19.0,5.14,6.43,0.8,0.375,0.462,0.837
2026,56719,왕옌청,한화,HH,4,2.74,9,4,2,0,0,0.667,49 1/3,49,3,21,3,42,23,15,1.42,0,0,3,0,215,832,0.258,7,0,1,0,0,3,0,9,4,0,0,0,0,5,64,35,1.83,0.317,92.4,16.9,7.66,3.83,2.0,0.341,0.342,0.683
2026,65616,이민우,한화,HH,5,2.79,16,0,2,0,4,0.0,19 1/3,19,1,5,3,8,6,6,1.24,0,0,0,0,83,318,0.271,2,0,1,4,0,0,0,0,0,0,2,2,0,1,24,23,1.04,0.277,19.9,16.4,3.72,2.33,1.6,0.329,0.343,0.672
2026,65117,이상규,한화,HH,6,3.0,12,0,0,0,3,,15,13,1,6,1,11,8,5,1.27,0,0,0,0,66,219,0.232,0,0,3,0,0,1,0,0,0,0,2,2,0,1,14,18,0.78,0.273,18.3,14.6,6.6,3.6,1.83,0.317,0.286,0.603
2026,76715,류현진,한화,HH,7,3.52,8,4,2,0,0,0.667,46,41,4,8,1,44,21,18,1.07,0,0,3,0,185,702,0.241,11,0,4,2,1,1,0,8,4,0,0,0,0,2,35,52,0.67,0.298,87.8,15.3,8.61,1.57,5.5,0.276,0.376,0.652
2026,52731,박준영,한화,HH,8,4.15,14,1,0,0,0,1.0,17 1/3,13,1,16,2,15,9,8,1.67,0,0,0,0,78,332,0.228,2,2,1,2,0,0,0,1,0,1,6,1,0,3,15,16,0.94,0.279,23.7,19.2,7.79,8.31,0.94,0.403,0.386,0.789
2026,56712,에르난데스,한화,HH,9,4.68,9,3,3,0,0,0.5,42 1/3,47,3,17,1,31,24,22,1.51,0,0,2,0,185,727,0.285,8,0,2,0,0,1,0,9,3,0,0,0,0,5,35,52,0.67,0.336,80.8,17.2,6.59,3.61,1.82,0.355,0.388,0.743
2026,56760,쿠싱,한화,HH,10,4.79,16,1,2,4,0,0.333,20 2/3,20,3,6,0,26,11,11,1.26,0,0,0,1,88,334,0.247,2,0,1,0,0,0,0,1,0,1,15,5,0,2,20,15,1.33,0.327,20.9,16.2,11.32,2.61,4.33,0.299,0.383,0.682
2026,63765,김종수,한화,HH,11,4.8,19,0,1,0,3,0.0,15,13,2,7,2,13,8,8,1.33,0,0,0,1,65,237,0.236,0,2,0,1,0,0,0,0,0,0,0,3,0,2,16,14,1.14,0.268,12.5,15.8,7.8,4.2,1.86,0.338,0.418,0.756
2026,55764,권민규,한화,HH,12,4.82,9,1,0,0,0,1.0,9 1/3,13,1,4,0,7,5,5,1.82,0,0,0,0,43,173,0.342,2,1,0,1,0,0,0,0,0,1,3,0,0,2,8,11,0.73,0.387,19.2,18.5,6.75,3.86,1.75,0.395,0.526,0.921
2026,54768,조동욱,한화,HH,12,4.82,23,0,1,0,5,0.0,18 2/3,22,0,9,2,18,10,10,1.66,0,0,0,1,85,292,0.306,2,1,2,0,0,1,0,0,0,0,1,3,0,1,13,19,0.68,0.407,12.7,15.6,8.68,4.34,2.0,0.398,0.361,0.759
2026,52701,문동주,한화,HH,14,5.18,6,1,1,0,0,0.5,24 1/3,27,3,11,3,18,16,14,1.56,0,0,1,0,110,442,0.281,6,1,0,0,0,2,0,6,1,0,0,0,0,3,29,22,1.32,0.32,73.7,18.2,6.66,4.07,1.64,0.373,0.458,0.831
2026,69213,윤산흠,한화,HH,15,5.82,17,1,1,0,2,0.5,17,14,2,11,1,13,13,11,1.47,0,0,0,1,77,316,0.222,4,0,1,1,0,0,0,0,0,1,0,4,0,4,23,14,1.64,0.245,18.6,18.6,6.88,5.82,1.18,0.342,0.381,0.723
2026,54729,황준서,한화,HH,16,6.57,6,0,2,0,0,0.0,12 1/3,11,1,12,0,14,10,9,1.86,0,0,0,0,60,254,0.25,1,0,3,1,0,0,0,3,0,0,1,0,0,1,8,12,0.67,0.333,42.3,20.6,10.22,8.76,1.17,0.404,0.341,0.745
2026,50705,강재민,한화,HH,17,6.75,3,0,0,0,0,,2 2/3,4,0,3,2,1,2,2,2.63,0,0,0,0,17,60,0.364,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0.2,0.4,20.0,22.5,3.38,10.13,0.33,0.563,0.364,0.927
2026,55743,정우주,한화,HH,18,6.85,21,0,1,0,5,0.0,22 1/3,24,2,19,5,28,17,17,1.93,0,0,0,1,112,501,0.276,5,0,0,1,0,5,0,3,0,0,1,5,0,2,11,25,0.44,0.379,23.9,22.4,11.28,7.66,1.47,0.429,0.402,0.831
