season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2026,키움,team_defense,1,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2,1217,427,41,0.977,1,29,9,23.7,,,
2026,두산,team_defense,2,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,1203,419,39,0.982,4,29,4,12.1,,,
2026,SSG,team_defense,3,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,1202,429,42,0.98,4,29,9,23.7,,,
2026,KIA,team_defense,4,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,1197,413,36,0.983,3,37,10,21.3,,,
2026,KT,team_defense,5,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,1189,452,41,0.984,0,36,9,20.0,,,
2026,LG,team_defense,6,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,1182,425,36,0.978,1,36,15,29.4,,,
2026,한화,team_defense,7,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3,1180,409,44,0.976,4,21,9,30.0,,,
2026,삼성,team_defense,8,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,1176,455,40,0.986,4,36,10,21.7,,,
2026,NC,team_defense,9,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2,1160,416,33,0.983,2,25,10,28.6,,,
2026,롯데,team_defense,10,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,1155,424,32,0.983,3,33,11,25.0,,,
