season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2026,KT,team_hitter,1,0.286,,44,1804,1551,251,444,75,7,34,635,241,23,11,203,4,16,336,38,0.409,0.372,0.781,44,0.291,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,한화,team_hitter,2,0.277,,44,1820,1569,275,435,67,8,51,671,258,23,14,190,3,24,335,35,0.428,0.361,0.789,43,0.296,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,삼성,team_hitter,3,0.276,,44,1784,1523,239,420,71,10,37,622,227,13,16,207,8,25,298,29,0.408,0.368,0.776,44,0.274,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,KIA,team_hitter,4,0.269,,45,1780,1534,241,412,80,2,55,661,230,26,16,185,8,19,339,42,0.431,0.351,0.782,45,0.275,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,SSG,team_hitter,5,0.267,,45,1813,1560,248,416,75,8,46,645,235,13,23,197,4,20,330,29,0.413,0.352,0.765,45,0.292,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,LG,team_hitter,6,0.266,,44,1749,1463,204,389,59,5,29,545,198,30,18,204,8,34,308,34,0.373,0.365,0.738,44,0.267,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,롯데,team_hitter,7,0.262,,43,1675,1516,178,397,75,6,34,586,167,9,13,124,5,13,336,26,0.387,0.321,0.708,43,0.249,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,NC,team_hitter,8,0.26,,44,1721,1486,207,386,69,0,37,566,194,19,11,162,4,43,330,35,0.381,0.347,0.728,44,0.266,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,두산,team_hitter,9,0.256,,45,1770,1521,219,390,65,11,35,582,200,25,21,174,3,29,322,34,0.383,0.34,0.723,45,0.269,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,키움,team_hitter,10,0.231,,46,1745,1542,160,356,64,2,27,505,146,19,11,142,4,31,395,28,0.327,0.306,0.633,45,0.231,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
