season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2026,두산,team_pitcher,1,0.267,4.06,45,,,209,417,79,5,29,,,21,19,172,3,22,368,,,,,,,,22,22,8,14,0.5,401,181,1.47,0,3,20,5,1794,6886,26,2,,,,,,,,,,,,,
2026,삼성,team_pitcher,2,0.256,4.11,44,,,196,379,66,5,40,,,20,16,167,4,23,301,,,,,,,,26,17,12,24,0.605,392,179,1.39,0,1,22,7,1708,6641,16,0,,,,,,,,,,,,,
2026,LG,team_pitcher,3,0.272,4.34,44,,,206,421,64,5,40,,,12,16,150,2,22,303,,,,,,,,26,18,19,35,0.591,394,190,1.45,0,3,13,10,1746,6878,19,1,,,,,,,,,,,,,
2026,롯데,team_pitcher,4,0.259,4.35,43,,,211,380,74,3,34,,,28,10,190,6,19,350,,,,,,,,18,24,10,14,0.429,385,186,1.48,0,1,18,4,1714,6779,34,1,,,,,,,,,,,,,
2026,KIA,team_pitcher,5,0.251,4.4,45,,,212,383,65,5,45,,,21,7,172,7,26,321,,,,,,,,22,22,7,27,0.5,399,195,1.39,1,4,13,6,1752,6909,19,2,,,,,,,,,,,,,
2026,NC,team_pitcher,6,0.244,4.59,44,,,214,355,61,8,46,,,18,16,191,6,28,330,,,,,,,,18,25,6,23,0.419,386 2/3,197,1.41,0,2,8,6,1705,6733,27,0,,,,,,,,,,,,,
2026,KT,team_pitcher,7,0.274,4.59,44,,,221,425,72,7,35,,,17,14,140,9,21,354,,,,,,,,25,18,10,19,0.581,396 1/3,202,1.43,0,3,18,8,1743,6622,18,0,,,,,,,,,,,,,
2026,키움,team_pitcher,8,0.287,5.06,46,,,243,462,89,11,38,,,23,21,177,2,24,329,,,,,,,,19,26,14,27,0.422,405 2/3,228,1.58,0,4,10,7,1856,7163,27,1,,,,,,,,,,,,,
2026,SSG,team_pitcher,9,0.259,5.1,45,,,250,400,62,1,43,,,16,18,213,11,34,334,,,,,,,,22,22,7,17,0.5,400 2/3,227,1.53,0,2,5,8,1824,7234,23,2,,,,,,,,,,,,,
2026,한화,team_pitcher,10,0.277,5.17,44,,,260,423,68,9,35,,,24,17,216,1,35,339,,,,,,,,20,24,5,27,0.455,393 1/3,226,1.62,0,1,10,7,1819,7100,20,0,,,,,,,,,,,,,
