season_year,team_name,rank_no,games,wins,losses,draws,win_rate,game_gap,last10,streak,home,away,series
2026,삼성,1,44,26,17,1,0.605,0,7승0무3패,2승,14-1-9,12-0-8,
2026,LG,2,44,26,18,0,0.591,0.5,4승0무6패,1승,14-0-9,12-0-9,
2026,KT,3,44,25,18,1,0.581,1,2승1무7패,2패,13-0-10,12-1-8,
2026,SSG,4,45,22,22,1,0.5,4.5,3승0무7패,4패,10-1-11,12-0-11,
2026,KIA,4,45,22,22,1,0.5,4.5,6승0무4패,1패,12-1-9,10-0-13,
2026,두산,4,45,22,22,1,0.5,4.5,7승0무3패,4승,13-0-9,9-1-13,
2026,한화,7,44,20,24,0,0.455,6.5,6승0무4패,3패,6-0-16,14-0-8,
2026,롯데,8,43,18,24,1,0.429,7.5,5승0무5패,2승,6-0-13,12-1-11,
2026,키움,9,46,19,26,1,0.422,8,7승0무3패,4승,13-1-10,6-0-16,
2026,NC,10,44,18,25,1,0.419,8,3승0무7패,3패,9-0-12,9-1-13,
