season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2026,NC,team_runner,1,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,57,17,,74,77.0,19
2026,두산,team_runner,2,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,45,9,,54,83.3,9
2026,SSG,team_runner,3,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,40,9,,49,81.6,7
2026,롯데,team_runner,4,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,34,6,,40,85.0,17
2026,LG,team_runner,5,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,33,12,,45,73.3,21
2026,삼성,team_runner,6,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,27,8,,35,77.1,10
2026,KIA,team_runner,7,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,25,4,,29,86.2,8
2026,한화,team_runner,8,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,23,12,,35,65.7,12
2026,KT,team_runner,9,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,22,18,,40,55.0,10
2026,키움,team_runner,10,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,13,1,,14,92.9,9
