순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS,player_link,player_id,season_year,team_code
1,이민호,LG,0.00,1,0,0,0,0,-,1,0,0,1,0,1,0,0,1.00,0,0,0,0,4,18,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.00,0.000,18.0,18.0,9.00,9.00,1.00,0.250,0.000,0.250,/Record/Player/PitcherDetail/Basic.aspx?playerId=50126,50126,2026,LG
1,이우찬,LG,0.00,3,0,0,0,0,-,2,3,0,1,0,2,0,0,2.00,0,0,0,0,10,36,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.33,0.429,12.0,18.0,9.00,4.50,2.00,0.400,0.444,0.844,/Record/Player/PitcherDetail/Basic.aspx?playerId=61145,61145,2026,LG
3,유영찬,LG,0.75,13,0,1,11,0,0.000,12,4,0,6,0,12,1,1,0.83,0,0,0,0,45,182,0.103,0,0,0,0,0,0,0,0,0,0,12,12,0,1,8,15,0.53,0.148,14.0,15.2,9.00,4.50,2.00,0.222,0.103,0.325,/Record/Player/PitcherDetail/Basic.aspx?playerId=50106,50106,2026,LG
4,손주영,LG,1.59,10,1,0,8,0,1.000,11 1/3,11,0,4,1,10,2,2,1.32,0,0,0,0,49,177,0.250,1,0,0,0,0,2,0,0,0,1,9,8,0,0,14,9,1.56,0.324,17.7,15.6,7.94,3.18,2.50,0.327,0.273,0.600,/Record/Player/PitcherDetail/Basic.aspx?playerId=67143,67143,2026,LG
5,웰스,LG,1.79,8,3,2,0,0,0.600,45 1/3,29,1,12,0,36,11,9,0.90,0,0,5,0,176,676,0.178,8,2,1,0,0,0,0,8,3,0,0,0,0,1,44,54,0.81,0.222,84.5,14.9,7.15,2.38,3.00,0.234,0.270,0.504,/Record/Player/PitcherDetail/Basic.aspx?playerId=55348,55348,2026,LG
6,김유영,LG,1.80,5,0,0,0,0,-,5,3,0,4,0,8,1,1,1.40,0,0,0,0,21,96,0.176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.00,0.333,19.2,19.2,14.40,7.20,2.00,0.333,0.235,0.568,/Record/Player/PitcherDetail/Basic.aspx?playerId=64596,64596,2026,LG
7,김진수,LG,2.42,17,2,1,1,3,0.667,22 1/3,19,2,5,0,15,6,6,1.07,0,0,0,0,89,331,0.232,5,0,0,2,1,1,0,0,0,2,4,4,0,3,26,24,1.08,0.254,19.5,14.8,6.04,2.01,3.00,0.270,0.366,0.636,/Record/Player/PitcherDetail/Basic.aspx?playerId=51154,51154,2026,LG
8,김윤식,LG,2.63,10,0,0,0,2,-,13 2/3,12,0,5,1,9,4,4,1.24,0,0,0,0,55,203,0.245,5,0,0,0,0,0,0,0,0,0,1,2,0,4,14,14,1.00,0.300,20.3,14.9,5.93,3.29,1.80,0.327,0.347,0.674,/Record/Player/PitcherDetail/Basic.aspx?playerId=50157,50157,2026,LG
9,이종준,LG,3.00,2,0,0,0,0,-,3,1,0,0,1,3,1,1,0.33,0,0,0,0,11,50,0.100,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0.50,0.143,25.0,16.7,9.00,0.00,-,0.182,0.200,0.382,/Record/Player/PitcherDetail/Basic.aspx?playerId=50904,50904,2026,LG
10,김영우,LG,3.06,20,1,0,0,3,1.000,17 2/3,14,2,8,0,17,6,6,1.25,0,0,0,1,75,294,0.215,3,1,1,1,1,0,0,0,0,1,3,7,0,0,10,25,0.40,0.255,14.7,16.6,8.66,4.08,2.13,0.297,0.385,0.682,/Record/Player/PitcherDetail/Basic.aspx?playerId=55167,55167,2026,LG
11,김진성,LG,3.09,27,3,0,1,11,1.000,23 1/3,25,3,8,0,17,8,8,1.41,0,0,0,2,100,398,0.287,5,0,1,4,0,1,0,0,0,3,2,12,1,2,8,41,0.20,0.310,14.7,17.1,6.56,3.09,2.13,0.333,0.448,0.781,/Record/Player/PitcherDetail/Basic.aspx?playerId=75867,75867,2026,LG
12,톨허스트,LG,3.24,11,7,3,0,0,0.700,58 1/3,49,4,18,7,48,21,21,1.15,0,0,8,0,248,931,0.224,6,0,2,2,0,0,1,11,7,0,0,0,0,4,50,74,0.68,0.266,84.6,16.0,7.41,2.78,2.67,0.301,0.306,0.607,/Record/Player/PitcherDetail/Basic.aspx?playerId=55130,55130,2026,LG
